LineUID,SnapshotID,IsRerun,LineID,ItemID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,CBS_L1,CBS_L2
DEL-001-03::LN-001,EST_DEL-001-03_2026-02-27_0545,NO,LN-001,ITM-001,Professional Services > Design & Engineering,PKG-001,DEL-001-03,Senior Architect — exterior elevation design and production leadership,54,hr,180,9720,CAD,PARAMETRIC,"Level_of_Effort.csv row 14 (R-11, 54h); Professional_Staff_Rates.csv R-11 ($180/hr)",MED,Role R-11 Senior Architect; hours from LOE; rate from staff rates,Professional Services,Design & Engineering
DEL-001-03::LN-002,EST_DEL-001-03_2026-02-27_0545,NO,LN-002,ITM-002,Professional Services > Design & Engineering,PKG-001,DEL-001-03,Architect — exterior elevation drawing production and coordination,42,hr,135,5670,CAD,PARAMETRIC,"Level_of_Effort.csv row 15 (R-12, 42h); Professional_Staff_Rates.csv R-12 ($135/hr)",MED,Role R-12 Architect; hours from LOE; rate from staff rates,Professional Services,Design & Engineering
DEL-001-03::LN-003,EST_DEL-001-03_2026-02-27_0545,NO,LN-003,ITM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-03,BIM Technician — modeling and sheet setup for exterior elevations,24,hr,95,2280,CAD,PARAMETRIC,"Level_of_Effort.csv row 16 (R-13, 24h); Professional_Staff_Rates.csv R-13 ($95/hr)",MED,Role R-13 BIM Technician; hours from LOE; rate from staff rates,Professional Services,Design & Engineering
DEL-001-03::LN-004,EST_DEL-001-03_2026-02-27_0545,NO,LN-004,ITM-004,Professional Services > Project Management,PKG-001,DEL-001-03,Project Manager — coordination and oversight for exterior elevations,6,hr,165,990,CAD,PARAMETRIC,"Level_of_Effort.csv row 12 (R-01, 6h); Professional_Staff_Rates.csv R-01 ($165/hr)",MED,Role R-01 Project Manager; hours from LOE; rate from staff rates,Professional Services,Project Management
DEL-001-03::LN-005,EST_DEL-001-03_2026-02-27_0545,NO,LN-005,ITM-005,Professional Services > Project Management,PKG-001,DEL-001-03,Cost Estimator — quantity verification support for exterior elevations,4,hr,135,540,CAD,PARAMETRIC,"Level_of_Effort.csv row 13 (R-08, 4h); Professional_Staff_Rates.csv R-08 ($135/hr)",MED,Role R-08 Cost Estimator; hours from LOE; rate from staff rates,Professional Services,Project Management
DEL-001-04::DL-001,EST_DEL-001-04_2026-02-27_0840,NO,DL-001,ITEM-001,Professional Services > Design & Engineering,PKG-001,DEL-001-04,Project Management — coordination and oversight for Building Sections deliverable,6,hr,165.00,990.00,CAD,PARAMETRIC,Level_of_Effort.csv (DEL-001-04 R-01) + Professional_Staff_Rates.csv (R-01),MED,6 hrs x $165/hr,Professional Services,Design & Engineering
DEL-001-04::DL-002,EST_DEL-001-04_2026-02-27_0840,NO,DL-002,ITEM-002,Professional Services > Design & Engineering,PKG-001,DEL-001-04,Cost Estimating — quantity takeoff and benchmarking support for Building Sections,4,hr,135.00,540.00,CAD,PARAMETRIC,Level_of_Effort.csv (DEL-001-04 R-08) + Professional_Staff_Rates.csv (R-08),MED,4 hrs x $135/hr,Professional Services,Design & Engineering
DEL-001-04::DL-003,EST_DEL-001-04_2026-02-27_0840,NO,DL-003,ITEM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-04,Senior Architect — lead design and code coordination for Building Sections,54,hr,180.00,9720.00,CAD,PARAMETRIC,Level_of_Effort.csv (DEL-001-04 R-11) + Professional_Staff_Rates.csv (R-11),MED,54 hrs x $180/hr,Professional Services,Design & Engineering
DEL-001-04::DL-004,EST_DEL-001-04_2026-02-27_0840,NO,DL-004,ITEM-004,Professional Services > Design & Engineering,PKG-001,DEL-001-04,Architect — production drawing development for Building Sections,42,hr,135.00,5670.00,CAD,PARAMETRIC,Level_of_Effort.csv (DEL-001-04 R-12) + Professional_Staff_Rates.csv (R-12),MED,42 hrs x $135/hr,Professional Services,Design & Engineering
DEL-001-04::DL-005,EST_DEL-001-04_2026-02-27_0840,NO,DL-005,ITEM-005,Professional Services > Design & Engineering,PKG-001,DEL-001-04,BIM Technician — modeling and sheet setup for Building Sections,24,hr,95.00,2280.00,CAD,PARAMETRIC,Level_of_Effort.csv (DEL-001-04 R-13) + Professional_Staff_Rates.csv (R-13),MED,24 hrs x $95/hr,Professional Services,Design & Engineering
DEL-001-05::L-001,EST_DEL-001-05_2026-02-27_0545,NO,L-001,ITEM-001,Professional Services > Design & Engineering,PKG-001,DEL-001-05,Senior Architect — interior elevation design leadership and code review,54,hr,180,9720,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv DEL-001-05/R-11,MED,54 hrs x $180/hr; LOE from Level_of_Effort.csv; rate from Professional_Staff_Rates.csv,Professional Services,Design & Engineering
DEL-001-05::L-002,EST_DEL-001-05_2026-02-27_0545,NO,L-002,ITEM-002,Professional Services > Design & Engineering,PKG-001,DEL-001-05,Architect — production drafting of interior elevation drawing sheets,42,hr,135,5670,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 + Level_of_Effort.csv DEL-001-05/R-12,MED,42 hrs x $135/hr; LOE from Level_of_Effort.csv; rate from Professional_Staff_Rates.csv,Professional Services,Design & Engineering
DEL-001-05::L-003,EST_DEL-001-05_2026-02-27_0545,NO,L-003,ITEM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-05,BIM Technician — CAD/BIM modeling and sheet setup for interior elevations,24,hr,95,2280,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-001-05/R-13,MED,24 hrs x $95/hr; LOE from Level_of_Effort.csv; rate from Professional_Staff_Rates.csv,Professional Services,Design & Engineering
DEL-001-05::L-004,EST_DEL-001-05_2026-02-27_0545,NO,L-004,ITEM-004,Professional Services > Project Management,PKG-001,DEL-001-05,Project Manager — coordination and oversight for interior elevations deliverable,6,hr,165,990,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-001-05/R-01,MED,6 hrs x $165/hr; LOE from Level_of_Effort.csv; rate from Professional_Staff_Rates.csv,Professional Services,Project Management
DEL-001-05::L-005,EST_DEL-001-05_2026-02-27_0545,NO,L-005,ITEM-005,Professional Services > Project Management,PKG-001,DEL-001-05,Cost Estimator — quantity takeoff support for interior elevations,4,hr,135,540,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-001-05/R-08,MED,4 hrs x $135/hr; LOE from Level_of_Effort.csv; rate from Professional_Staff_Rates.csv,Professional Services,Project Management
DEL-001-05::L-006,EST_DEL-001-05_2026-02-27_0545,NO,L-006,ITEM-006,Professional Services > Design & Engineering,PKG-001,DEL-001-05,Discipline coordination meetings — structural/mechanical/electrical/plumbing/civil,1,LS,0,0,CAD,PARAMETRIC,Level_of_Effort.csv DEL-001-05 (all roles),MED,Effort embedded in role line items L-001 through L-005; tracked as $0 to avoid double-count; coordination is a scope element not a separate cost,Professional Services,Design & Engineering
DEL-001-05::L-007,EST_DEL-001-05_2026-02-27_0545,NO,L-007,ITEM-007,Professional Services > Project Management,PKG-001,DEL-001-05,County preliminary design approval gate — administrative effort,1,LS,0,0,CAD,PARAMETRIC,Level_of_Effort.csv DEL-001-05/R-01 (PM hours),MED,Effort embedded in PM line item L-004; tracked as $0 to avoid double-count,Professional Services,Project Management
DEL-001-05::L-008,EST_DEL-001-05_2026-02-27_0545,NO,L-008,ITEM-008,Professional Services > Design & Engineering,PKG-001,DEL-001-05,IFC stamping and issuance — P.Eng./Architect stamp and distribution,1,LS,0,0,CAD,PARAMETRIC,Level_of_Effort.csv DEL-001-05/R-11 (Sr Architect hours),MED,Effort embedded in Senior Architect line item L-001; tracked as $0 to avoid double-count,Professional Services,Design & Engineering
DEL-001-05::L-009,EST_DEL-001-05_2026-02-27_0545,NO,L-009,ITEM-009,Professional Services > Design & Engineering,PKG-001,DEL-001-05,Drawing QA review — IFC readiness checklist completion,1,LS,0,0,CAD,PARAMETRIC,Level_of_Effort.csv DEL-001-05/R-11 + R-12,MED,Effort embedded in role line items L-001 and L-002; tracked as $0 to avoid double-count,Professional Services,Design & Engineering
DEL-001-05::L-010,EST_DEL-001-05_2026-02-27_0545,NO,L-010,ITEM-010,Professional Services > Design & Engineering,PKG-001,DEL-001-05,Post-IFC revision allowance — field condition revisions and as-built reconciliation,1,LS,0,0,CAD,PARAMETRIC,Assumptions_Log.md ASM-004,LOW,No pricing basis available for post-IFC revisions; set to $0 pending scope definition during construction; flagged in QA,Professional Services,Design & Engineering
DEL-001-06::DL-001,EST_DEL-001-06_2026-02-27_0630,NO,DL-001,ITM-001,Professional Services > Design & Engineering,PKG-001,DEL-001-06,Senior Architect — RCP drawing production and coordination lead,54,hr,180,9720,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv DEL-001-06 R-11,MED,54 hr x $180/hr; lead architect; code/coordination,Professional Services,Design & Engineering
DEL-001-06::DL-002,EST_DEL-001-06_2026-02-27_0630,NO,DL-002,ITM-002,Professional Services > Design & Engineering,PKG-001,DEL-001-06,Architect — RCP drawing production and detailing,42,hr,135,5670,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 + Level_of_Effort.csv DEL-001-06 R-12,MED,42 hr x $135/hr; production drawings and coordination,Professional Services,Design & Engineering
DEL-001-06::DL-003,EST_DEL-001-06_2026-02-27_0630,NO,DL-003,ITM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-06,BIM Technician — CAD/BIM modeling and sheet setup,24,hr,95,2280,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-001-06 R-13,MED,24 hr x $95/hr; modeling and sheet setup,Professional Services,Design & Engineering
DEL-001-06::DL-004,EST_DEL-001-06_2026-02-27_0630,NO,DL-004,ITM-004,Professional Services > Project Management,PKG-001,DEL-001-06,Project Manager — coordination oversight and review,6,hr,165,990,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-001-06 R-01,MED,6 hr x $165/hr; design-build PM; coordination oversight,Professional Services,Project Management
DEL-001-06::DL-005,EST_DEL-001-06_2026-02-27_0630,NO,DL-005,ITM-005,Professional Services > Project Management,PKG-001,DEL-001-06,Cost Estimator — quantity takeoff support,4,hr,135,540,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-001-06 R-08,MED,4 hr x $135/hr; estimate prep and benchmarking,Professional Services,Project Management
DEL-001-07::L-001,EST_DEL-001-07_2026-02-27_0546,NO,L-001,ITEM-001,Professional Services > Project Management,PKG-001,DEL-001-07,Project Manager — door and window schedule coordination,6,hr,165,990,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-001-07/R-01,MED,6 hrs from LOE; $165/hr from staff rates,Professional Services,Project Management
DEL-001-07::L-002,EST_DEL-001-07_2026-02-27_0546,NO,L-002,ITEM-002,Professional Services > Project Management,PKG-001,DEL-001-07,Cost Estimator — door and window schedule support,4,hr,135,540,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-001-07/R-08,MED,4 hrs from LOE; $135/hr from staff rates,Professional Services,Project Management
DEL-001-07::L-003,EST_DEL-001-07_2026-02-27_0546,NO,L-003,ITEM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-07,Senior Architect — code analysis and schedule development lead,18,hr,180,3240,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv DEL-001-07/R-11,MED,18 hrs from LOE; $180/hr from staff rates,Professional Services,Design & Engineering
DEL-001-07::L-004,EST_DEL-001-07_2026-02-27_0546,NO,L-004,ITEM-004,Professional Services > Design & Engineering,PKG-001,DEL-001-07,Architect — schedule production and coordination support,14,hr,135,1890,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 + Level_of_Effort.csv DEL-001-07/R-12,MED,14 hrs from LOE; $135/hr from staff rates,Professional Services,Design & Engineering
DEL-001-07::L-005,EST_DEL-001-07_2026-02-27_0546,NO,L-005,ITEM-005,Professional Services > Design & Engineering,PKG-001,DEL-001-07,BIM Technician — schedule drawing sheet production,8,hr,95,760,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-001-07/R-13,MED,8 hrs from LOE; $95/hr from staff rates,Professional Services,Design & Engineering
DEL-001-08::L-001,EST_DEL-001-08_2026-02-27_0630,NO,L-001,ITEM-001,Professional Services > Design & Engineering,PKG-001,DEL-001-08,Project Manager — Finish Schedule production oversight and client coordination,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-001-08/R-01,MED,6 hrs x $165/hr per parametric LOE model,Professional Services,Design & Engineering
DEL-001-08::L-002,EST_DEL-001-08_2026-02-27_0630,NO,L-002,ITEM-002,Professional Services > Design & Engineering,PKG-001,DEL-001-08,Cost Estimator — quantity takeoff and benchmarking support for finish selections,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-001-08/R-08,MED,4 hrs x $135/hr per parametric LOE model,Professional Services,Design & Engineering
DEL-001-08::L-003,EST_DEL-001-08_2026-02-27_0630,NO,L-003,ITEM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-08,Senior Architect — finish schedule design leadership and code compliance review,18,hr,180.00,3240.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv DEL-001-08/R-11,MED,18 hrs x $180/hr per parametric LOE model,Professional Services,Design & Engineering
DEL-001-08::L-004,EST_DEL-001-08_2026-02-27_0630,NO,L-004,ITEM-004,Professional Services > Design & Engineering,PKG-001,DEL-001-08,Architect — production drafting of finish schedule and coordination,14,hr,135.00,1890.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 + Level_of_Effort.csv DEL-001-08/R-12,MED,14 hrs x $135/hr per parametric LOE model,Professional Services,Design & Engineering
DEL-001-08::L-005,EST_DEL-001-08_2026-02-27_0630,NO,L-005,ITEM-005,Professional Services > Design & Engineering,PKG-001,DEL-001-08,BIM Technician — finish schedule sheet setup and drawing integration,8,hr,95.00,760.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-001-08/R-13,MED,8 hrs x $95/hr per parametric LOE model,Professional Services,Design & Engineering
DEL-001-09::DL-001,EST_DEL-001-09_2026-02-27_0546,NO,DL-001,ITEM-001,Professional Services > Design & Engineering,PKG-001,DEL-001-09,Project Manager — coordination and client liaison,6,hr,165,990,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01; Level_of_Effort.csv DEL-001-09 R-01,MED,6 hrs x $165/hr,Professional Services,Design & Engineering
DEL-001-09::DL-002,EST_DEL-001-09_2026-02-27_0546,NO,DL-002,ITEM-002,Professional Services > Design & Engineering,PKG-001,DEL-001-09,Cost Estimator — quantity takeoff and benchmarking,4,hr,135,540,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08; Level_of_Effort.csv DEL-001-09 R-08,MED,4 hrs x $135/hr,Professional Services,Design & Engineering
DEL-001-09::DL-003,EST_DEL-001-09_2026-02-27_0546,NO,DL-003,ITEM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-09,Senior Architect — lead design for demolition plans,54,hr,180,9720,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11; Level_of_Effort.csv DEL-001-09 R-11,MED,54 hrs x $180/hr; includes field verification and code review oversight,Professional Services,Design & Engineering
DEL-001-09::DL-004,EST_DEL-001-09_2026-02-27_0546,NO,DL-004,ITEM-004,Professional Services > Design & Engineering,PKG-001,DEL-001-09,Architect — production drawings and coordination,42,hr,135,5670,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12; Level_of_Effort.csv DEL-001-09 R-12,MED,42 hrs x $135/hr,Professional Services,Design & Engineering
DEL-001-09::DL-005,EST_DEL-001-09_2026-02-27_0546,NO,DL-005,ITEM-005,Professional Services > Design & Engineering,PKG-001,DEL-001-09,BIM Technician — modeling and sheet setup,24,hr,95,2280,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13; Level_of_Effort.csv DEL-001-09 R-13,MED,24 hrs x $95/hr,Professional Services,Design & Engineering
DEL-001-10::DL-001,EST_DEL-001-10_2026-02-27_0600,NO,DL-001,ITM-001,Professional Services > Design & Engineering,PKG-001,DEL-001-10,Project Management — renovation plan oversight and client coordination,6,hr,165.00,990.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-01 + Level_of_Effort.csv DEL-001-10/R-01,MED,6 hrs x $165/hr; PM coordination across 5 SOW items,Professional Services,Design & Engineering
DEL-001-10::DL-002,EST_DEL-001-10_2026-02-27_0600,NO,DL-002,ITM-002,Professional Services > Design & Engineering,PKG-001,DEL-001-10,Cost Estimating — quantity takeoff and benchmarking support for renovation scope,4,hr,135.00,540.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-08 + Level_of_Effort.csv DEL-001-10/R-08,MED,4 hrs x $135/hr; estimate prep and benchmarking,Professional Services,Design & Engineering
DEL-001-10::DL-003,EST_DEL-001-10_2026-02-27_0600,NO,DL-003,ITM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-10,Senior Architect — lead design for renovation plans (field survey; design intent; IFC production),54,hr,180.00,9720.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-11 + Level_of_Effort.csv DEL-001-10/R-11,MED,54 hrs x $180/hr; lead architect for code/coordination across 5 SOW items,Professional Services,Design & Engineering
DEL-001-10::DL-004,EST_DEL-001-10_2026-02-27_0600,NO,DL-004,ITM-004,Professional Services > Design & Engineering,PKG-001,DEL-001-10,Architect — production drawing development for renovation plan set,42,hr,135.00,5670.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-12 + Level_of_Effort.csv DEL-001-10/R-12,MED,42 hrs x $135/hr; CAD/BIM production drawings,Professional Services,Design & Engineering
DEL-001-10::DL-005,EST_DEL-001-10_2026-02-27_0600,NO,DL-005,ITM-005,Professional Services > Design & Engineering,PKG-001,DEL-001-10,BIM Technician — modeling and sheet setup for renovation drawing set,24,hr,95.00,2280.00,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-13 + Level_of_Effort.csv DEL-001-10/R-13,MED,24 hrs x $95/hr; BIM modeling and sheet setup,Professional Services,Design & Engineering
DEL-001-11::DL-001,EST_DEL-001-11_2026-02-28_0803,NO,DL-001,ITEM-001,Professional Services > Project Management,PKG-001,DEL-001-11,Project management — specification coordination and oversight,6,hr,165,990,CAD,PARAMETRIC,PS-LOE (DEL-001-11 R-01 6h) + PS-STAFF (R-01 $165/hr),MED,PM hours across specification procedure steps 1-7,Professional Services,Project Management
DEL-001-11::DL-002,EST_DEL-001-11_2026-02-28_0803,NO,DL-002,ITEM-002,Professional Services > Project Management,PKG-001,DEL-001-11,Cost estimating support — specification scope quantity takeoff,4,hr,135,540,CAD,PARAMETRIC,PS-LOE (DEL-001-11 R-08 4h) + PS-STAFF (R-08 $135/hr),MED,Estimating support for specification scope definition,Professional Services,Project Management
DEL-001-11::DL-003,EST_DEL-001-11_2026-02-28_0803,NO,DL-003,ITEM-003,Professional Services > Design & Engineering,PKG-001,DEL-001-11,Senior Architect — specification authoring and code review,27,hr,180,4860,CAD,PARAMETRIC,PS-LOE (DEL-001-11 R-11 27h) + PS-STAFF (R-11 $180/hr),MED,Lead architect: spec authoring (ARCH-001 to ARCH-052); code compliance (ABC); occupancy classification; accessibility review,Professional Services,Design & Engineering
DEL-001-11::DL-004,EST_DEL-001-11_2026-02-28_0803,NO,DL-004,ITEM-004,Professional Services > Design & Engineering,PKG-001,DEL-001-11,Architect — specification production and inter-discipline coordination,21,hr,135,2835,CAD,PARAMETRIC,PS-LOE (DEL-001-11 R-12 21h) + PS-STAFF (R-12 $135/hr),MED,Production architect: spec sections Div 01-11; inter-discipline coordination with structural/mechanical/electrical/plumbing,Professional Services,Design & Engineering
DEL-001-11::DL-005,EST_DEL-001-11_2026-02-28_0803,NO,DL-005,ITEM-005,Professional Services > Design & Engineering,PKG-001,DEL-001-11,BIM Technician — specification graphics and document formatting,12,hr,95,1140,CAD,PARAMETRIC,PS-LOE (DEL-001-11 R-13 12h) + PS-STAFF (R-13 $95/hr),MED,BIM model extracts for specification figures; document formatting,Professional Services,Design & Engineering
DEL-001-11::DL-006,EST_DEL-001-11_2026-02-28_0803,NO,DL-006,ITEM-006,Professional Services > Specialty Consulting,PKG-001,DEL-001-11,Existing conditions survey — Old North Shop (SOW-0070 through SOW-0074),16,hr,140,2240,CAD,PARAMETRIC,Professional_Staff_Rates.csv R-21 + Level_of_Effort.csv DEL-001-11/R-21,MED,R-21 Surveyor 16 hrs (field 8 + data processing 8) from LOE; $140/hr from rate table,Professional Services > Specialty Consulting,Professional Services > Specialty Consulting
DEL-001-11::DL-007,EST_DEL-001-11_2026-02-28_0803,NO,DL-007,ITEM-007,Professional Services > Design & Engineering,PKG-001,DEL-001-11,Alberta Building Code compliance review — occupancy classification and code research,1,LS,0,0,CAD,PARAMETRIC,PS-LOE (embedded in R-11 Senior Architect hours),MED,Effort included in DL-003 Senior Architect hours; no incremental cost,Professional Services,Design & Engineering
DEL-001-11::DL-008,EST_DEL-001-11_2026-02-28_0803,NO,DL-008,ITEM-008,Professional Services > Design & Engineering,PKG-001,DEL-001-11,Inter-discipline coordination review — structural/mechanical/electrical/plumbing,1,LS,0,0,CAD,PARAMETRIC,PS-LOE (embedded in R-12 Architect hours),MED,Effort included in DL-004 Architect hours; no incremental cost,Professional Services,Design & Engineering
DEL-001-11::DL-009,EST_DEL-001-11_2026-02-28_0803,NO,DL-009,ITEM-009,Professional Services > Project Management,PKG-001,DEL-001-11,County preliminary design approval coordination,1,LS,0,0,CAD,PARAMETRIC,PS-LOE (embedded in R-01 PM hours),MED,Effort included in DL-001 PM hours; no incremental cost,Professional Services,Project Management
DEL-001-11::DL-010,EST_DEL-001-11_2026-02-28_0803,NO,DL-010,ITEM-010,Professional Services > Specialty Consulting,PKG-001,DEL-001-11,P.Eng. stamp and AAAL review — IFC issuance,1,LS,2500,2500,CAD,PARAMETRIC,Fees_Permits_Insurance.csv FP-11,LOW,P.Eng. stamp and AAAL review fee per issuance cycle,Professional Services > Specialty Consulting,Professional Services > Specialty Consulting
DEL-001-11::DL-011,EST_DEL-001-11_2026-02-28_0803,NO,DL-011,ITEM-011,"Permits, Fees & Insurance > Permits, Fees & Bonding",PKG-001,DEL-001-11,Building permit application — Camrose County,1,LS,10000,10000,CAD,PARAMETRIC,Fees_Permits_Insurance.csv FP-12,LOW,Building permit — Camrose County (13000 sqft commercial); payment responsibility per OI-003,Permits & Fees,General Permits
DEL-002-01::DL-001,EST_DEL-002-01_2026-02-27_0539,NO,DL-001,ITM-001,Professional Services > Project Management,PKG-002,DEL-002-01,Project Management — coordination and oversight for preliminary structural design,6,hr,165,990,CAD,PARAMETRIC,PS-01 (R-01) + PS-02 (DEL-002-01 R-01),MED,6 hours per Level_of_Effort.csv; rate from Professional_Staff_Rates.csv R-01,Professional Services,Project Management
DEL-002-01::DL-002,EST_DEL-002-01_2026-02-27_0539,NO,DL-002,ITM-002,Professional Services > Project Management,PKG-002,DEL-002-01,Cost Estimating — preliminary structural cost estimate support,4,hr,135,540,CAD,PARAMETRIC,PS-01 (R-08) + PS-02 (DEL-002-01 R-08),MED,4 hours per Level_of_Effort.csv; rate from Professional_Staff_Rates.csv R-08,Professional Services,Project Management
