AssumptionUID,FromDeliverableID,SnapshotID,AssumptionID,Category,Description,Impact,SourcePath
DEL-001-06::A-0005,DEL-001-06,EST_DEL-001-06_2026-02-27_0630,ASM-005,,Field verification of Old North Shop existing conditions (ITM-020) effort is included in the Architect and Senior Architect hour allocations,"If the field survey requires travel, equipment rental, or extended time beyond the allocated hours, additional cost would apply",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md
DEL-001-06::A-0006,DEL-001-06,EST_DEL-001-06_2026-02-27_0630,ASM-006,,Currency is CAD as stated in the brief and Assumed_Project_Parameters.csv PP-17,No conversion risk,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md
DEL-001-06::A-0007,DEL-001-06,EST_DEL-001-06_2026-02-27_0630,ASM-007,,The LOE allocation for DEL-001-06 (Drawing Set type) is comparable to other PKG-001 Drawing Set deliverables,Consistent parametric treatment across drawing set deliverables,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-06_2026-02-27_0630/Assumptions_Log.md
DEL-001-09::A-0001,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,ASM-001,,"The LOE hours in Level_of_Effort.csv (130 total hours for DEL-001-09) are adequate for the scope of three renovation areas, including field survey, preliminary design, County review, and IFC production.",Level_of_Effort.csv (DEL-001-09 rows); Procedure.md (Phase 1–3 scope),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md
DEL-001-09::A-0002,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,ASM-002,,"The P.Eng. stamp is obtainable within the Senior Architect's allocated hours (54 hrs) — i.e., the Senior Architect either holds a P.Eng. designation or the P.Eng. co-stamp cost is negligible.",Specification REQ-005; Guidance CONF-001; Professional_Staff_Rates.csv R-14,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md
DEL-001-09::A-0003,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,ASM-003,,No hazardous materials assessment design scope is included.,Procedure Step 1.3; Guidance C-004,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md
DEL-001-09::A-0004,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,ASM-004,,As-built drawings are either available from the Owner or the field survey (within LOE hours) is sufficient to establish the base plan.,"Procedure Step 1.1, Step 1.2; Guidance C-001",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md
DEL-001-09::A-0005,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,ASM-005,,Currency is CAD as specified in the brief and confirmed by Assumed_Project_Parameters.csv (PP-17).,Assumed_Project_Parameters.csv PP-17,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md
DEL-001-09::A-0006,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,ASM-006,,"No printing, plotting, or physical reproduction costs are included. Drawings are assumed to be issued electronically.",ASSUMPTION — not addressed in price sources,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md
DEL-001-09::A-0007,DEL-001-09,EST_DEL-001-09_2026-02-27_0546,ASM-007,,"Scope is limited to SOW-0070, SOW-0071, SOW-0072 only. Demolition for SOW-0073 (locker/change room) and SOW-0074 (washroom expansion) is excluded per decomposition scope assignment.",Decomposition §7 DEL-001-09 entry; Guidance CONF-002,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-09_2026-02-27_0546/Assumptions_Log.md
DEL-001-10::A-0001,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-001,,Alberta Building Code 2019 (NBC 2019 Alberta Edition) is the governing code edition,Specification.md REQ-006 — ASSUMPTION noted; AHJ confirmation pending,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-10::A-0002,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-002,,"The 250 sqft kitchenette area is gross room area, not net functional area",Guidance.md — Kitchenette Size Constraint,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-10::A-0003,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-003,,LOE hours in Level_of_Effort.csv are appropriate for a Drawing Set deliverable covering 5 renovation SOW items,Level_of_Effort.csv DEL-001-10 rows,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-10::A-0004,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-004,,Hourly rates in Professional_Staff_Rates.csv reflect 2026 Alberta market rates for design-build professional services,Professional_Staff_Rates.csv — all rates MEDIUM confidence,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-10::A-0005,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-005,,DEL-001-09 (Demolition Plans) will be sufficiently advanced before renovation design is finalized,Specification.md REQ-008; Procedure.md Prerequisites,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-10::A-0006,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-006,,The locker/change room (SOW-0073) is constructed within the existing building footprint,Procedure.md Prerequisites — geotechnical report; Guidance.md Trade-off 3,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-10::A-0007,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-007,,"Construction value for fee-based cross-check is $3,705,000 CAD (13,000 sqft x $285/sf)",Parametric_Building_Rates.csv PB-01; Assumed_Project_Parameters.csv PP-10,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-10::A-0008,DEL-001-10,EST_DEL-001-10_2026-02-27_0600,ASM-008,,Project currency is CAD,Brief CURRENCY; Assumed_Project_Parameters.csv PP-17,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-10_2026-02-27_0600/Assumptions_Log.md
DEL-001-11::A-0001,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-001,,Staff hourly rates in Professional_Staff_Rates.csv are representative of Central Alberta (Ferintosh/Camrose) market rates for 2026,"Rates could be +/-20-30% from actual contracted rates; total estimate exposure ~$2,500-$3,800 on effort lines",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-001-11::A-0002,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-002,,Level-of-effort hours in Level_of_Effort.csv are sufficient for the specification deliverable scope,"If scope expands (e.g., multiple specification revisions, extended coordination cycles), hours could increase by 25-50%",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-001-11::A-0003,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-003,,"Code review, inter-discipline coordination, and County approval coordination effort is embedded in the LOE role hours and does not require incremental budget","If coordination is more complex than anticipated (multiple review cycles, extended County feedback periods), additional hours may be needed",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-001-11::A-0004,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-004,,Currency is CAD per PP-17 from Assumed_Project_Parameters.csv,"Negligible risk -- project is in Alberta, Canada",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-001-11::A-0005,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-005,,Existing conditions survey for the Old North Shop requires 16 hours of R-21 Surveyor effort (8 field + 8 data processing),"If building conditions are more complex than anticipated or access is restricted, additional field time may be required",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-001-11::A-0006,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-006,,Building permit fees are the responsibility of the Proponent (Design-Builder) unless confirmed otherwise,"If Owner pays permit fees, DL-011 ($10,000) should be excluded from the Design-Builder's estimate",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-001-11::A-0007,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-007,,"P.Eng. stamp and AAAL registration fee of $2,500 is representative for a single issuance cycle","If multiple issuance cycles or specialized third-party review is required, costs could exceed $2,500 per cycle",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-001-11::A-0008,DEL-001-11,EST_DEL-001-11_2026-02-28_0803,ASM-008,,"Camrose County building permit for a 13,000 sqft commercial facility is approximately $10,000","Actual permit fee depends on County fee schedule at time of application; could vary $5,000-$15,000",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Assumptions_Log.md
DEL-002-01::A-0001,DEL-002-01,EST_DEL-002-01_2026-02-27_0539,ASM-001,,The Level_of_Effort.csv hour estimates for DEL-002-01 (70 hours total across 4 roles) are a reasonable parametric estimate for a preliminary structural design presentation of this building type and scale.,"If actual hours are significantly higher (e.g., due to County revision cycles, complex coordination with other disciplines, or extensive geotechnical dependency analysis), the estimate will understate costs. If lower (e.g., experienced team with similar project precedent), the estimate will overstate.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-01_2026-02-27_0539/Assumptions_Log.md
DEL-002-01::A-0002,DEL-002-01,EST_DEL-002-01_2026-02-27_0539,ASM-002,,The hourly rates in Professional_Staff_Rates.csv are representative of the Design-Builder's actual or contracted staff costs for 2026 Alberta work.,"If actual rates differ (e.g., firm uses more senior/junior staff, or rates include/exclude different overhead components), the estimate total will be proportionally affected.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-01_2026-02-27_0539/Assumptions_Log.md
DEL-002-01::A-0003,DEL-002-01,EST_DEL-002-01_2026-02-27_0539,ASM-003,,"County approval cycle is limited to one submission and one revision cycle, with effort for this included in the 6 PM hours and 42 Structural Engineer hours.","If multiple revision cycles are required, additional PM and Structural Engineer hours would be needed beyond the estimate.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-01_2026-02-27_0539/Assumptions_Log.md
DEL-002-01::A-0004,DEL-002-01,EST_DEL-002-01_2026-02-27_0539,ASM-004,,"Inter-discipline coordination effort (Procedure Step 5) is included within the allocated PM and Structural Engineer hours and does not require additional budget for coordination meetings, workshops, or design charrettes.","If coordination is more intensive than expected (e.g., significant design conflicts between structural and architectural/mechanical), additional hours may be required.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-01_2026-02-27_0539/Assumptions_Log.md
DEL-002-01::A-0005,DEL-002-01,EST_DEL-002-01_2026-02-27_0539,ASM-005,,"No travel costs, printing costs, or other non-labour costs are included for the preliminary design presentation to County.","If the County requires printed presentation packages, in-person meetings at the Ferintosh site, or other non-labour deliverables, additional costs would be incurred outside this estimate.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-01_2026-02-27_0539/Assumptions_Log.md
DEL-002-01::A-0006,DEL-002-01,EST_DEL-002-01_2026-02-27_0539,ASM-006,,"The BIM Technician effort (18 hours) is sufficient to produce the conceptual floor plan, building sections, and annotated structural sketches at a preliminary (not IFC) level of detail.","If the County expects a higher level of graphical detail at the preliminary stage, additional BIM hours may be needed.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-01_2026-02-27_0539/Assumptions_Log.md
DEL-002-02::A-0001,DEL-002-02,EST_DEL-002-02_2026-02-26_2246,ASM-001,,"The Level_of_Effort.csv hour allocations for DEL-002-02 are based on normal ground conditions per RFP 4.8.2. If geotechnical results (DEL-008-01) reveal unusual conditions requiring significant redesign, actual hours may increase.",Structural Engineer hours (84 hr) could increase by 20-50% for complex ground conditions; BIM Technician hours would also increase proportionally,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-02_2026-02-26_2246/Assumptions_Log.md
DEL-002-02::A-0002,DEL-002-02,EST_DEL-002-02_2026-02-26_2246,ASM-002,,Hourly rates from Professional_Staff_Rates.csv are representative for Alberta 2026. All rates are PARAMETRIC basis with MEDIUM confidence.,"If rates are understated or overstated, total estimate scales linearly. Rate sensitivity: +/-10% rate change = +/-$1,923 total impact",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-02_2026-02-26_2246/Assumptions_Log.md
DEL-002-02::A-0003,DEL-002-02,EST_DEL-002-02_2026-02-26_2246,ASM-003,,"The foundation plan is a single deliverable (one drawing set). The LOE covers all design phases from preliminary through IFC, including one geotech-integration design update cycle.","If multiple geotech-triggered redesign cycles are needed, hours would increase beyond the LOE allocation",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-02_2026-02-26_2246/Assumptions_Log.md
DEL-002-02::A-0004,DEL-002-02,EST_DEL-002-02_2026-02-26_2246,ASM-004,,Interdisciplinary coordination effort by the Structural Engineer is included within the 84-hour allocation. No separate coordination hours are broken out.,"If coordination effort is substantially higher than assumed (e.g., multiple disciplines requiring extensive iteration), additional hours may be needed",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-02_2026-02-26_2246/Assumptions_Log.md
DEL-002-02::A-0005,DEL-002-02,EST_DEL-002-02_2026-02-26_2246,ASM-005,,Currency is CAD. No currency conversion required.,N/A,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-02_2026-02-26_2246/Assumptions_Log.md
DEL-002-03::A-0001,DEL-002-03,EST_DEL-002-03_2026-02-27_0546,ASM-001,,"The Level_of_Effort.csv parametric hours (R-14: 84 hr, R-13: 36 hr, R-01: 6 hr, R-08: 4 hr) for DEL-002-03 encompass the full design lifecycle including input collection, structural system selection, preliminary design, IFC production, QA review, P.Eng. stamping, and County approval coordination.","If hours are underestimated, actual cost exceeds $19,230. If overestimated, cost is lower.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-03_2026-02-27_0546/Assumptions_Log.md
DEL-002-03::A-0002,DEL-002-03,EST_DEL-002-03_2026-02-27_0546,ASM-002,,"Hourly rates from Professional_Staff_Rates.csv represent all-in rates (including overhead, benefits, and profit) for the design-build proponent's professional staff.","If rates exclude overhead/burden, actual cost is higher. If rates are above market, estimate is conservative.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-03_2026-02-27_0546/Assumptions_Log.md
DEL-002-03::A-0003,DEL-002-03,EST_DEL-002-03_2026-02-27_0546,ASM-003,,No external subconsultant structural engineering fees are required; the Structural Engineer is an in-house resource of the design-build proponent.,"If structural design is subcontracted, pricing method should shift to QUOTE (subconsultant fee proposal) which may differ from parametric LOE.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-03_2026-02-27_0546/Assumptions_Log.md
DEL-002-03::A-0004,DEL-002-03,EST_DEL-002-03_2026-02-27_0546,ASM-004,,CAD currency is appropriate; no exchange rate adjustments required.,None if correct.,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-03_2026-02-27_0546/Assumptions_Log.md
DEL-002-03::A-0005,DEL-002-03,EST_DEL-002-03_2026-02-27_0546,ASM-005,,"The building structural complexity (130 ft x 100 ft, 35 ft clear ceiling, 2 x 5-tonne overhead cranes, mezzanine, service pit) is adequately represented by the parametric LOE model.","If complexity is underrepresented, additional engineering hours may be needed.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-03_2026-02-27_0546/Assumptions_Log.md
DEL-002-05::A-0001,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,ASM-001,,"Level_of_Effort.csv hours for DEL-002-05 (R-14: 84 hr, R-13: 36 hr, R-01: 6 hr, R-08: 4 hr) are reasonable for a mezzanine framing details drawing set","If hours are under/over-estimated, the direct LOE subtotal ($19,230) adjusts proportionally.",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Assumptions_Log.md
DEL-002-05::A-0002,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,ASM-002,,Internal QA review requires approximately 8 hours of senior structural engineer time,+/- $340-680 CAD per 2-4 hour variance.,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Assumptions_Log.md
DEL-002-05::A-0003,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,ASM-003,,Multi-discipline coordination requires approximately 6 hours of structural engineer time,+/- $340-680 CAD per 2-4 hour variance.,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Assumptions_Log.md
DEL-002-05::A-0004,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,ASM-004,,Shop drawing review requires approximately 8 hours of structural engineer time,"If multiple resubmittals, effort could double to ~16 hrs (+$1,360).",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Assumptions_Log.md
