FromDeliverableID,FromPackageID,SnapshotID,BASIS_OF_ESTIMATE,CURRENCY,PRICE_SOURCES,RunContextPath,IsRerun
DEL-001-11,PKG-001,EST_DEL-001-11_2026-02-28_0803,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv, Parametric_Building_Rates.csv, Fees_Permits_Insurance.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-001-11_2026-02-28_0803/Run_Context.md,NO
DEL-002-01,PKG-002,EST_DEL-002-01_2026-02-27_0539,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-01_2026-02-27_0539/Run_Context.md,NO
DEL-002-02,PKG-002,EST_DEL-002-02_2026-02-26_2246,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-02_2026-02-26_2246/Run_Context.md,NO
DEL-002-03,PKG-002,EST_DEL-002-03_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-03_2026-02-27_0546/Run_Context.md,NO
DEL-002-04,PKG-002,EST_DEL-002-04_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-04_2026-02-27_0546/Run_Context.md,NO
DEL-002-05,PKG-002,EST_DEL-002-05_2026-02-27_0600,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/Run_Context.md,NO
DEL-002-06,PKG-002,EST_DEL-002-06_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-06_2026-02-27_0546/Run_Context.md,NO
DEL-002-07,PKG-002,EST_DEL-002-07_2026-02-27_0133,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-07_2026-02-27_0133/Run_Context.md,NO
DEL-002-08,PKG-002,EST_DEL-002-08_2026-02-28_0804,PARAMETRIC,CAD,"(1) Professional_Staff_Rates.csv, (2) Level_of_Effort.csv, (3) Assumed_Project_Parameters.csv, (4) Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-08_2026-02-28_0804/Run_Context.md,NO
DEL-002-09,PKG-002,EST_DEL-002-09_2026-02-27_0630,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-09_2026-02-27_0630/Run_Context.md,NO
DEL-002-10,PKG-002,EST_DEL-002-10_2026-03-26_1430,RATE_TABLE,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, CBS_Taxonomy.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-10_2026-03-26_1430/Run_Context.md,YES
DEL-002-11,PKG-002,EST_DEL-002-11_2026-02-27_0600,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-11_2026-02-27_0600/Run_Context.md,NO
DEL-002-12,PKG-002,EST_DEL-002-12_2026-02-27_0841,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-12_2026-02-27_0841/Run_Context.md,NO
DEL-003-01,PKG-003,EST_DEL-003-01_2026-03-26_1400,RATE_TABLE,CAD,PriceSources/ (full directory — see Resolved Paths below),/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-01_2026-03-26_1400/Run_Context.md,YES
DEL-003-02,PKG-003,EST_DEL-003-02_2026-02-27_0841,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-02_2026-02-27_0841/Run_Context.md,NO
DEL-003-03,PKG-003,EST_DEL-003-03_2026-02-27_0848,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-03_2026-02-27_0848/Run_Context.md,NO
DEL-003-04,PKG-003,EST_DEL-003-04_2026-02-27_0841,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-04_2026-02-27_0841/Run_Context.md,NO
DEL-003-05,PKG-003,EST_DEL-003-05_2026-02-27_0833,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-05_2026-02-27_0833/Run_Context.md,NO
DEL-003-06,PKG-003,EST_DEL-003-06_2026-02-27_0134,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-06_2026-02-27_0134/Run_Context.md,NO
DEL-003-07,PKG-003,EST_DEL-003-07_2026-02-27_0841,PARAMETRIC,CAD,location TBD,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-07_2026-02-27_0841/Run_Context.md,NO
DEL-004-01,PKG-004,EST_DEL-004-01_2026-02-26_2043,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-01_2026-02-26_2043/Run_Context.md,NO
DEL-004-02,PKG-004,EST_DEL-004-02_2026-02-27_0833,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-02_2026-02-27_0833/Run_Context.md,NO
DEL-004-03,PKG-004,EST_DEL-004-03_2026-02-27_0834,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-03_2026-02-27_0834/Run_Context.md,NO
DEL-004-04,PKG-004,EST_DEL-004-04_2026-02-28_0809,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-04_2026-02-28_0809/Run_Context.md,NO
DEL-004-05,PKG-004,EST_DEL-004-05_2026-02-27_0630,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-05_2026-02-27_0630/Run_Context.md,NO
DEL-004-06,PKG-004,EST_DEL-004-06_2026-02-27_0833,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-06_2026-02-27_0833/Run_Context.md,NO
DEL-004-07,PKG-004,EST_DEL-004-07_2026-02-28_0810,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-07_2026-02-28_0810/Run_Context.md,NO
DEL-004-08,PKG-004,EST_DEL-004-08_2026-02-27_0600,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-08_2026-02-27_0600/Run_Context.md,NO
DEL-004-09,PKG-004,EST_DEL-004-09_2026-02-27_0141,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-09_2026-02-27_0141/Run_Context.md,NO
DEL-005-01,PKG-005,EST_DEL-005-01_2026-02-27_0539,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-005-01_2026-02-27_0539/Run_Context.md,NO
DEL-005-02,PKG-005,EST_DEL-005-02_2026-02-26_2246,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-005-02_2026-02-26_2246/Run_Context.md,NO
DEL-005-03,PKG-005,EST_DEL-005-03_2026-02-27_0600,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-005-03_2026-02-27_0600/Run_Context.md,NO
DEL-005-04,PKG-005,EST_DEL-005-04_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv (all under _EstimatePrep/EPREP_SCAFFOLD_WDMLRL_2026-02-26_2035/PriceSources/)",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-005-04_2026-02-27_0546/Run_Context.md,NO
DEL-005-05,PKG-005,EST_DEL-005-05_2026-02-27_0630,PARAMETRIC,CAD,1. Professional_Staff_Rates.csv; 2. Level_of_Effort.csv; 3. Assumed_Project_Parameters.csv; 4. Professional_Design_Fees.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-005-05_2026-02-27_0630/Run_Context.md,NO
DEL-005-06,PKG-005,EST_DEL-005-06_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-005-06_2026-02-27_0546/Run_Context.md,NO
DEL-005-07,PKG-005,EST_DEL-005-07_2026-02-27_0547,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-005-07_2026-02-27_0547/Run_Context.md,NO
DEL-006-01,PKG-006,EST_DEL-006-01_2026-02-26_2239,PARAMETRIC,CAD,location TBD,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-01_2026-02-26_2239/Run_Context.md,NO
DEL-006-02,PKG-006,EST_DEL-006-02_2026-02-27_0730,PARAMETRIC,CAD,location TBD,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-02_2026-02-27_0730/Run_Context.md,NO
DEL-006-03,PKG-006,EST_DEL-006-03_2026-02-27_0700,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-03_2026-02-27_0700/Run_Context.md,NO
DEL-006-04,PKG-006,EST_DEL-006-04_2026-02-27_0630,PARAMETRIC,CAD,1. Professional_Staff_Rates.csv; 2. Level_of_Effort.csv; 3. Assumed_Project_Parameters.csv; 4. Professional_Design_Fees.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-04_2026-02-27_0630/Run_Context.md,NO
DEL-006-05,PKG-006,EST_DEL-006-05_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-05_2026-02-27_0546/Run_Context.md,NO
DEL-006-06,PKG-006,EST_DEL-006-06_2026-02-27_0630,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-06_2026-02-27_0630/Run_Context.md,NO
DEL-006-07,PKG-006,EST_DEL-006-07_2026-02-27_0700,PARAMETRIC,CAD,"(1) Professional_Staff_Rates.csv, (2) Level_of_Effort.csv, (3) Assumed_Project_Parameters.csv, (4) Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-07_2026-02-27_0700/Run_Context.md,NO
DEL-006-08,PKG-006,EST_DEL-006-08_2026-02-27_0730,PARAMETRIC,CAD,1. Professional_Staff_Rates.csv  2. Level_of_Effort.csv  3. Assumed_Project_Parameters.csv  4. Professional_Design_Fees.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-006-08_2026-02-27_0730/Run_Context.md,NO
DEL-007-01,PKG-007,EST_DEL-007-01_2026-02-27_0546,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv (all under _EstimatePrep/EPREP_SCAFFOLD_WDMLRL_2026-02-26_2035/PriceSources/)",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-01_2026-02-27_0546/Run_Context.md,NO
DEL-007-02,PKG-007,EST_DEL-007-02_2026-02-27_0600,PARAMETRIC,CAD,1. Professional_Staff_Rates.csv; 2. Level_of_Effort.csv; 3. Assumed_Project_Parameters.csv; 4. Professional_Design_Fees.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-02_2026-02-27_0600/Run_Context.md,NO
DEL-007-03,PKG-007,EST_DEL-007-03_2026-02-27_0630,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-03_2026-02-27_0630/Run_Context.md,NO
DEL-007-04,PKG-007,EST_DEL-007-04_2026-02-27_0700,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Professional_Design_Fees.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-04_2026-02-27_0700/Run_Context.md,NO
DEL-008-01,PKG-008,EST_DEL-008-01_2026-02-28_0800,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Geotechnical_Investigation_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-008-01_2026-02-28_0800/Run_Context.md,NO
DEL-008-02,PKG-008,EST_DEL-008-02_2026-02-26_2232,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-008-02_2026-02-26_2232/Run_Context.md,NO
DEL-008-03,PKG-008,EST_DEL-008-03_2026-02-27_0630,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-008-03_2026-02-27_0630/Run_Context.md,NO
DEL-008-04,PKG-008,EST_DEL-008-04_2026-02-27_0700,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-008-04_2026-02-27_0700/Run_Context.md,NO
DEL-009-01,PKG-009,EST_DEL-009-01_2026-02-27_0547,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-01_2026-02-27_0547/Run_Context.md,NO
DEL-009-02,PKG-009,EST_DEL-009-02_2026-02-27_0600,PARAMETRIC,CAD,location TBD,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-02_2026-02-27_0600/Run_Context.md,NO
DEL-009-03,PKG-009,EST_DEL-009-03_2026-02-27_0700,PARAMETRIC,CAD,Professional_Staff_Rates.csv; Level_of_Effort.csv; Assumed_Project_Parameters.csv,/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-03_2026-02-27_0700/Run_Context.md,NO
DEL-009-04,PKG-009,EST_DEL-009-04_2026-02-28_0806,PARAMETRIC,CAD,"1. Professional_Staff_Rates.csv, 2. Level_of_Effort.csv, 3. Assumed_Project_Parameters.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-04_2026-02-28_0806/Run_Context.md,NO
DEL-010-01,PKG-010,EST_DEL-010-01_2026-02-27_0730,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Structural_Concrete_Rates.csv, Earthwork_Civil_Rates.csv, Construction_Labour_Rates.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-010-01_2026-02-27_0730/Run_Context.md,NO
DEL-011-01,PKG-011,EST_DEL-011-01_2026-02-27_0845,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Structural_Concrete_Rates.csv, Building_Envelope_Rates.csv, Construction_Labour_Rates.csv, Equipment_Pricing.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-01_2026-02-27_0845/Run_Context.md,NO
DEL-011-02,PKG-011,EST_DEL-011-02_2026-02-27_0848,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Structural_Concrete_Rates.csv, Building_Envelope_Rates.csv, Construction_Labour_Rates.csv, Equipment_Pricing.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-02_2026-02-27_0848/Run_Context.md,NO
DEL-011-03,PKG-011,EST_DEL-011-03_2026-02-27_0854,PARAMETRIC,CAD,"Professional_Staff_Rates.csv, Level_of_Effort.csv, Assumed_Project_Parameters.csv, Structural_Concrete_Rates.csv, Building_Envelope_Rates.csv, Construction_Labour_Rates.csv, Equipment_Pricing.csv",/Users/ryan/ai-env/projects/chirality-app/examples/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/Run_Context.md,NO
