DuplicateID,LineUID_A,LineUID_B,Amount_A,Amount_B,DuplicateType,Resolution,Notes
DUP-032,DEL-01-04::B-580,DEL-01-05::B-BLD-580,36000,36000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Bay sumps
DUP-033,DEL-01-04::B-590,DEL-01-05::B-BLD-590,10000,10000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Bay displays
DUP-034,DEL-01-04::B-595,DEL-01-05::B-BLD-595,20000,20000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,PA/paging
DUP-035,DEL-01-04::B-598,DEL-01-05::B-BLD-598,22000,22000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,PW workshop allowance
DUP-036,DEL-01-04::C-100,DEL-01-05::C-100+C-110+C-120,123000,123000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Option 1 Wash Bay (DEL-01-04 aggregated; DEL-01-05 broken out)
DUP-037,DEL-01-04::C-200,DEL-01-05::C-200+C-210,106000,106000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Option 2 Yard Lighting
DUP-038,DEL-01-04::C-300,DEL-01-05::C-300,45000,45000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Option 3 Access Control
DUP-039,DEL-01-04::C-400,DEL-01-05::C-400+C-410,55000,55000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Option 4 Security/Cameras
DUP-040,DEL-01-04::C-500,DEL-01-05::C-500+C-510,34000,34000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Option 5 Signage
DUP-041,DEL-01-04::C-600,DEL-01-05::C-600,20000,20000,INTENTIONAL_DUAL_VIEW,REPORT_BOTH_FLAG_DUPLICATE,Option 6 FF&E
