RiskUID,FromDeliverableID,SnapshotID,RiskID,Category,Description,Severity,Status,SourcePath
DEL-002-04::R-0011,DEL-002-04,EST_DEL-002-04_2026-02-27_0546,W-004,,No contingency or escalation factor applied to the parametric estimate,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-04_2026-02-27_0546/QA_Report.md
DEL-002-05::R-0012,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,W-001,,"8 of 12 items ($8,500 / 30.6% of total) are parametric allowances with assumed hours not directly from Level_of_Effort.csv. Hour assumptions documented in Assumptions_Log.md.",MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/QA_Report.md
DEL-002-05::R-0013,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,W-002,,"ITEM-009 ($680) is conditional on unresolved conflict CF-DS-002 (mezzanine extent over wash bay). If wash bay mezzanine is eliminated, this item may be reduced.",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/QA_Report.md
DEL-002-05::R-0014,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,W-003,,"Field review effort (ITEM-008, $2,720) has highest variability risk. Actual effort depends on construction complexity and inspection schedule.",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/QA_Report.md
DEL-002-05::R-0015,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,W-004,,All staff rates are MEDIUM confidence (per Professional_Staff_Rates.csv). Rates should be validated against actual contract rates when available.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/QA_Report.md
DEL-002-05::R-0016,DEL-002-05,EST_DEL-002-05_2026-02-27_0600,W-005,,This estimate covers professional design services only. Construction material/labour costs for the mezzanine itself are not included.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-05_2026-02-27_0600/QA_Report.md
DEL-002-11::R-0017,DEL-002-11,EST_DEL-002-11_2026-02-27_0600,,,Variable-price scope: foundation design hours may increase post-geotech if conditions differ from assumed normal,MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-11_2026-02-27_0600/QA_Report.md
DEL-002-11::R-0018,DEL-002-11,EST_DEL-002-11_2026-02-27_0600,,,Peer reviewer hours embedded in R-14 LOE; not broken out separately,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-11_2026-02-27_0600/QA_Report.md
DEL-002-11::R-0019,DEL-002-11,EST_DEL-002-11_2026-02-27_0600,,,Design fee cross-check (Professional_Design_Fees.csv DF-02) not possible without construction value base,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-11_2026-02-27_0600/QA_Report.md
DEL-002-11::R-0020,DEL-002-11,EST_DEL-002-11_2026-02-27_0600,,,Items ITEM-005 through ITEM-014 are tracking items at $0 — their scope is absorbed in ITEM-001 through ITEM-004,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-002-11_2026-02-27_0600/QA_Report.md
DEL-003-02::R-0021,DEL-003-02,EST_DEL-003-02_2026-02-27_0841,,,"LOE model covers 4 roles only for this deliverable. Additional roles (QA/QC, Document Control, Controls Specialist) may contribute effort not captured in the estimate.",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-02_2026-02-27_0841/QA_Report.md
DEL-003-02::R-0022,DEL-003-02,EST_DEL-003-02_2026-02-27_0841,,,No cross-check method available — construction value not established for percentage-of-construction-value validation via Professional_Design_Fees.csv (DF-03).,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-02_2026-02-27_0841/QA_Report.md
DEL-003-02::R-0023,DEL-003-02,EST_DEL-003-02_2026-02-27_0841,,,All rates are PARAMETRIC with MEDIUM confidence per source data. No market quote or historical validation available.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-02_2026-02-27_0841/QA_Report.md
DEL-003-02::R-0024,DEL-003-02,EST_DEL-003-02_2026-02-27_0841,,,Scope items ITEM-005 through ITEM-016 are listed for traceability but carry no separate cost; their effort is subsumed under the 4 labor line items (ITEM-001 through ITEM-004).,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-02_2026-02-27_0841/QA_Report.md
DEL-003-04::R-0025,DEL-003-04,EST_DEL-003-04_2026-02-27_0841,W-001,,Sub-task hour breakdown (ITEM-004 through ITEM-015) is TBD; only aggregate R-15 total (84 hrs) is priced. Individual task allocations not available from LOE source.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-04_2026-02-27_0841/QA_Report.md
DEL-003-04::R-0026,DEL-003-04,EST_DEL-003-04_2026-02-27_0841,W-002,,"P.Eng. stamp cost assumed included in R-15 hours (ASM-003). If external reviewer required, additional cost line needed.",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-04_2026-02-27_0841/QA_Report.md
DEL-003-04::R-0027,DEL-003-04,EST_DEL-003-04_2026-02-27_0841,W-003,,Wash bay exhaust scope boundary (CFT-001) unresolved; estimate assumes in-scope per Guidance proposal.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-04_2026-02-27_0841/QA_Report.md
DEL-003-04::R-0028,DEL-003-04,EST_DEL-003-04_2026-02-27_0841,W-004,,Professional_Design_Fees.csv (fee-percentage model) available but not applied; could serve as cross-check when construction value is known.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-04_2026-02-27_0841/QA_Report.md
DEL-003-04::R-0029,DEL-003-04,EST_DEL-003-04_2026-02-27_0841,W-005,,All rates at MEDIUM confidence per source data.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-04_2026-02-27_0841/QA_Report.md
DEL-003-06::R-0030,DEL-003-06,EST_DEL-003-06_2026-02-27_0134,,,Mechanical Engineer 56-hour block sub-allocated across 11 tasks by estimated complexity. Sub-allocation is an assumption; aggregate is firmly sourced.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-06_2026-02-27_0134/QA_Report.md
DEL-003-06::R-0031,DEL-003-06,EST_DEL-003-06_2026-02-27_0134,,,P.Eng. stamp cost assumed included in ME hours. External review not priced.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-06_2026-02-27_0134/QA_Report.md
DEL-003-06::R-0032,DEL-003-06,EST_DEL-003-06_2026-02-27_0134,,,No material/software/reproduction costs included.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-06_2026-02-27_0134/QA_Report.md
DEL-003-06::R-0033,DEL-003-06,EST_DEL-003-06_2026-02-27_0134,,,No contingency applied to estimate. Source confidence is MEDIUM.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-06_2026-02-27_0134/QA_Report.md
DEL-003-06::R-0034,DEL-003-06,EST_DEL-003-06_2026-02-27_0134,,,Welding exhaust calculation (ITEM-008) is PRELIMINARY pending County specs (SOW-0204). Rework hours not budgeted.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-003-06_2026-02-27_0134/QA_Report.md
DEL-004-04::R-0035,DEL-004-04,EST_DEL-004-04_2026-02-28_0809,,,Emergency/exit lighting assessment,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-04_2026-02-28_0809/QA_Report.md
DEL-004-07::R-0036,DEL-004-07,EST_DEL-004-07_2026-02-28_0810,,,"Additional low-voltage systems (fire alarm, data, access control, intercom) scope TBD",,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-004-07_2026-02-28_0810/QA_Report.md
DEL-007-02::R-0037,DEL-007-02,EST_DEL-007-02_2026-02-27_0600,W-001,,"LOE model notes for DEL-007-02 state ""PKG-007 Landscape Architect -- TBD"" suggesting the hour allocation (70 hr LA, 6 hr PM, 4 hr CE) may be preliminary. Recommend validation against comparable projects.",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-02_2026-02-27_0600/QA_Report.md
DEL-007-02::R-0038,DEL-007-02,EST_DEL-007-02_2026-02-27_0600,W-002,,"P.Eng. stamp fee not separately quantified; assumed covered by project-wide professional services. If separate engagement required, incremental cost is unaccounted.",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-02_2026-02-27_0600/QA_Report.md
DEL-007-02::R-0039,DEL-007-02,EST_DEL-007-02_2026-02-27_0600,W-003,,No contingency applied to estimate. PARAMETRIC basis carries MEDIUM confidence per source data.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-02_2026-02-27_0600/QA_Report.md
DEL-007-02::R-0040,DEL-007-02,EST_DEL-007-02_2026-02-27_0600,W-004,,Professional_Design_Fees.csv was indexed but not used; LOE model was preferred for deliverable-level granularity.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-02_2026-02-27_0600/QA_Report.md
DEL-007-03::R-0041,DEL-007-03,EST_DEL-007-03_2026-02-27_0630,W-001,,Landscape Architect sub-allocation (ASM-002) is an estimating assumption. The 70 hr total is sourced; the split across Steps 1-6 is not.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-03_2026-02-27_0630/QA_Report.md
DEL-007-03::R-0042,DEL-007-03,EST_DEL-007-03_2026-02-27_0630,W-002,,"Non-labour costs (materials, travel, printing, external assessments) are not included (ASM-004). If these are in scope, additional pricing sources are needed.",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-03_2026-02-27_0630/QA_Report.md
DEL-007-03::R-0043,DEL-007-03,EST_DEL-007-03_2026-02-27_0630,W-003,,CONF-007-03-001 (P.Eng. vs. RLA stamp) is unresolved. Potential minor cost impact if P.Eng. co-signature is required.,INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-03_2026-02-27_0630/QA_Report.md
DEL-007-03::R-0044,DEL-007-03,EST_DEL-007-03_2026-02-27_0630,W-004,,"Source documents contain numerous TBD attributes (plant species, soil data, hardiness zone). This does not affect the professional services estimate but signals the deliverable is at an early design stage.",INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-007-03_2026-02-27_0630/QA_Report.md
DEL-009-01::R-0045,DEL-009-01,EST_DEL-009-01_2026-02-27_0547,,,"Level_of_Effort.csv provides only 2 of 6 labour roles for DEL-009-01 (10 of 29 hours, $1,530 of $4,030 labour). Remaining 4 roles (19 hours, $2,500) are parametrically estimated outside the LoE model at LOW confidence.",MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-01_2026-02-27_0547/QA_Report.md
DEL-009-01::R-0046,DEL-009-01,EST_DEL-009-01_2026-02-27_0547,,,Pre-application consultation disbursement ($350) is a parametric allowance with no source pricing. Actual cost depends on proponent location and meeting logistics.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-01_2026-02-27_0547/QA_Report.md
DEL-009-01::R-0047,DEL-009-01,EST_DEL-009-01_2026-02-27_0547,,,Courier/delivery cost ($150) is a parametric allowance with no source pricing.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-01_2026-02-27_0547/QA_Report.md
DEL-009-01::R-0048,DEL-009-01,EST_DEL-009-01_2026-02-27_0547,,,Inspection coordination allowance ($500) is a parametric estimate for permit-related inspection scheduling. Scope boundary between development-permit inspections (DEL-009-01) and construction-phase inspections (DEL-009-04) is imprecise.,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-01_2026-02-27_0547/QA_Report.md
DEL-009-01::R-0049,DEL-009-01,EST_DEL-009-01_2026-02-27_0547,,,"LoE Notes column for DEL-009-01 shows ""PKG-009 Project Manager — TBD"", indicating the LoE model may not have been fully validated for this deliverable. Hours accepted as-is per the parametric model.",INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-01_2026-02-27_0547/QA_Report.md
DEL-009-01::R-0050,DEL-009-01,EST_DEL-009-01_2026-02-27_0547,,,"Development permit fee explicitly excluded from estimate — County pays (R-01 §3.3.1; REQ-009-01-009). This is correct scope treatment, not a gap.",INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-01_2026-02-27_0547/QA_Report.md
DEL-009-02::R-0051,DEL-009-02,EST_DEL-009-02_2026-02-27_0600,W-001,,LOE source data covers only 2 of 10 roles for DEL-009-02; remaining 8 roles estimated parametrically from Procedure.md scope,MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-02_2026-02-27_0600/QA_Report.md
DEL-009-02::R-0052,DEL-009-02,EST_DEL-009-02_2026-02-27_0600,W-002,,Permitting Specialist (R-22) hours (40 hrs) are parametric estimate; actual effort depends on authority responsiveness and inspection count,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-02_2026-02-27_0600/QA_Report.md
DEL-009-02::R-0053,DEL-009-02,EST_DEL-009-02_2026-02-27_0600,W-003,,"Inspection coordination hours (10 hrs, Phase 5) based on ~7 anticipated inspection stages; actual stages TBD upon permit issuance",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-02_2026-02-27_0600/QA_Report.md
DEL-009-02::R-0054,DEL-009-02,EST_DEL-009-02_2026-02-27_0600,W-004,,"LOE Notes column shows ""PKG-009 Project Manager -- TBD"" confirming source data is preliminary",INFO,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-02_2026-02-27_0600/QA_Report.md
DEL-009-04::R-0055,DEL-009-04,EST_DEL-009-04_2026-02-28_0806,,,Deficiency documentation and corrective action tracking,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-04_2026-02-28_0806/QA_Report.md
DEL-009-04::R-0056,DEL-009-04,EST_DEL-009-04_2026-02-28_0806,,,Mid-lifecycle regulatory change incorporation,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-04_2026-02-28_0806/QA_Report.md
DEL-009-04::R-0057,DEL-009-04,EST_DEL-009-04_2026-02-28_0806,,,Register maintenance through guarantee period (Phase 4),,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-009-04_2026-02-28_0806/QA_Report.md
DEL-011-03::R-0058,DEL-011-03,EST_DEL-011-03_2026-02-27_0854,W-01,,"Overhead door dimensions (width, height) TBD per IFC drawings",MATERIAL,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/QA_Report.md
DEL-011-03::R-0059,DEL-011-03,EST_DEL-011-03_2026-02-27_0854,W-02,,Door height (14-16 ft assumed) TBD pending County fleet data,MATERIAL,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/QA_Report.md
DEL-011-03::R-0060,DEL-011-03,EST_DEL-011-03_2026-02-27_0854,W-03,,Door type (sectional vs. rolling) TBD in IFC,MINOR,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/QA_Report.md
DEL-011-03::R-0061,DEL-011-03,EST_DEL-011-03_2026-02-27_0854,W-04,,Bay width 24' nominal vs. clear definition TBD,MINOR,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/QA_Report.md
DEL-011-03::R-0062,DEL-011-03,EST_DEL-011-03_2026-02-27_0854,W-05,,Door operator specifications TBD,MINOR,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/QA_Report.md
DEL-011-03::R-0063,DEL-011-03,EST_DEL-011-03_2026-02-27_0854,W-06,,Oil/water separator requirement TBD per Alberta regulations,POTENTIAL,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/QA_Report.md
DEL-011-03::R-0064,DEL-011-03,EST_DEL-011-03_2026-02-27_0854,W-07,,Fire separation requirements TBD,POTENTIAL,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-03_2026-02-27_0854/QA_Report.md
DEL-011-06::R-0065,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Waterproofing / damp-proofing,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-011-06::R-0066,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Pit interior lining and finishing,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-011-06::R-0067,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Safety railings and edge protection,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-011-06::R-0068,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Pit cover / grating system,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-011-06::R-0069,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Ventilation rough-in provisions,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-011-06::R-0070,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Lighting rough-in provisions,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-011-06::R-0071,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Floor drain rough-in provisions,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-011-06::R-0072,DEL-011-06,EST_DEL-011-06_2026-02-27_0600,,,Excavation safety measures,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-011-06_2026-02-27_0600/QA_Report.md
DEL-012-02::R-0073,DEL-012-02,EST_DEL-012-02_2026-02-27_0854,,,Room dimensions TBD; area estimated parametrically from bay width assumption,MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-012-02_2026-02-27_0854/QA_Report.md
DEL-012-02::R-0074,DEL-012-02,EST_DEL-012-02_2026-02-27_0854,,,Clear height below mezzanine TBD,MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-012-02_2026-02-27_0854/QA_Report.md
DEL-012-02::R-0075,DEL-012-02,EST_DEL-012-02_2026-02-27_0854,,,Fire rating requirements TBD per AHJ,MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-012-02_2026-02-27_0854/QA_Report.md
DEL-012-02::R-0076,DEL-012-02,EST_DEL-012-02_2026-02-27_0854,,,"Door count, size, type TBD",LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-012-02_2026-02-27_0854/QA_Report.md
DEL-012-02::R-0077,DEL-012-02,EST_DEL-012-02_2026-02-27_0854,,,Gas code applicability TBD,LOW,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-012-02_2026-02-27_0854/QA_Report.md
DEL-012-02::R-0078,DEL-012-02,EST_DEL-012-02_2026-02-27_0854,,,Cistern pad scope boundary TBD (CON-012-02-02),MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-012-02_2026-02-27_0854/QA_Report.md
DEL-012-02::R-0079,DEL-012-02,EST_DEL-012-02_2026-02-27_0854,,,Equipment platform design TBD per PKG-013 submittals,MEDIUM,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-012-02_2026-02-27_0854/QA_Report.md
DEL-013-03::R-0080,DEL-013-03,EST_DEL-013-03_2026-02-27_0901,,,Supply ductwork (from MS-06 rate but qty is parametric),,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-013-03_2026-02-27_0901/QA_Report.md
DEL-013-03::R-0081,DEL-013-03,EST_DEL-013-03_2026-02-27_0901,,,MUA unit (from MS-02 but sizing TBD),,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-013-03_2026-02-27_0901/QA_Report.md
DEL-013-03::R-0082,DEL-013-03,EST_DEL-013-03_2026-02-27_0901,,,Ductwork insulation,,,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/_Estimates/EST_DEL-013-03_2026-02-27_0901/QA_Report.md
