Execution,DeliverableID,DeliverableName,RoleID,Role,EstimatedHours,Basis,Notes
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-03,Exterior Elevations,R-13,BIM Technician,24,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-04,Building Sections,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-04,Building Sections,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-04,Building Sections,R-11,Senior Architect,54,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-04,Building Sections,R-12,Architect,42,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-04,Building Sections,R-13,BIM Technician,24,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-05,Interior Elevations,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-05,Interior Elevations,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-05,Interior Elevations,R-11,Senior Architect,54,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-05,Interior Elevations,R-12,Architect,42,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-05,Interior Elevations,R-13,BIM Technician,24,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-06,Reflected Ceiling Plans,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-06,Reflected Ceiling Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-06,Reflected Ceiling Plans,R-11,Senior Architect,54,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-06,Reflected Ceiling Plans,R-12,Architect,42,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-06,Reflected Ceiling Plans,R-13,BIM Technician,24,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-07,Door & Window Schedule,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-07,Door & Window Schedule,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-07,Door & Window Schedule,R-11,Senior Architect,18,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-07,Door & Window Schedule,R-12,Architect,14,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-07,Door & Window Schedule,R-13,BIM Technician,8,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-08,Finish Schedule,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-08,Finish Schedule,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-08,Finish Schedule,R-11,Senior Architect,18,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-08,Finish Schedule,R-12,Architect,14,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-08,Finish Schedule,R-13,BIM Technician,8,PARAMETRIC,PKG-001 Architect — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-09,Old North Shop Demolition Plans,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-09,Old North Shop Demolition Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-09,Old North Shop Demolition Plans,R-11,Senior Architect,54,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-09,Old North Shop Demolition Plans,R-12,Architect,42,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-09,Old North Shop Demolition Plans,R-13,BIM Technician,24,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-10,Old North Shop Renovation Plans,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-10,Old North Shop Renovation Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-10,Old North Shop Renovation Plans,R-11,Senior Architect,54,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-10,Old North Shop Renovation Plans,R-12,Architect,42,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-10,Old North Shop Renovation Plans,R-13,BIM Technician,24,PARAMETRIC,PKG-001 Architect — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-11,Architectural Specification,R-01,Project Manager,6,PARAMETRIC,PKG-001 Architect — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-11,Architectural Specification,R-08,Cost Estimator,4,PARAMETRIC,PKG-001 Architect — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-11,Architectural Specification,R-11,Senior Architect,27,PARAMETRIC,PKG-001 Architect — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-11,Architectural Specification,R-12,Architect,21,PARAMETRIC,PKG-001 Architect — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-001-11,Architectural Specification,R-13,BIM Technician,12,PARAMETRIC,PKG-001 Architect — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-01,Preliminary Structural Design,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-01,Preliminary Structural Design,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-01,Preliminary Structural Design,R-13,BIM Technician,18,PARAMETRIC,PKG-002 Structural Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-01,Preliminary Structural Design,R-14,Structural Engineer,42,PARAMETRIC,PKG-002 Structural Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-02,Foundation Plan,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-02,Foundation Plan,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-02,Foundation Plan,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-02,Foundation Plan,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-03,Structural Framing Plans,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-03,Structural Framing Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-03,Structural Framing Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-03,Structural Framing Plans,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-04,Structural Sections & Details,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-04,Structural Sections & Details,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-04,Structural Sections & Details,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-04,Structural Sections & Details,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-05,Mezzanine Framing Details,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-05,Mezzanine Framing Details,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-05,Mezzanine Framing Details,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-05,Mezzanine Framing Details,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-06,Service Pit / Trench Structural Details,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-06,Service Pit / Trench Structural Details,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-06,Service Pit / Trench Structural Details,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-06,Service Pit / Trench Structural Details,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-07,Crane Support Structure Details,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-07,Crane Support Structure Details,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-07,Crane Support Structure Details,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-07,Crane Support Structure Details,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-08,Steel Plate Embedment Plan,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-08,Steel Plate Embedment Plan,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-08,Steel Plate Embedment Plan,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-08,Steel Plate Embedment Plan,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-09,Stair Details,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-09,Stair Details,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-09,Stair Details,R-13,BIM Technician,36,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-09,Stair Details,R-14,Structural Engineer,84,PARAMETRIC,PKG-002 Structural Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-10,Structural Calculation Package,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-10,Structural Calculation Package,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-10,Structural Calculation Package,R-13,BIM Technician,24,PARAMETRIC,PKG-002 Structural Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-10,Structural Calculation Package,R-14,Structural Engineer,56,PARAMETRIC,PKG-002 Structural Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-11,Foundation Design Package (Variable-Price),R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Design Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-11,Foundation Design Package (Variable-Price),R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Design Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-11,Foundation Design Package (Variable-Price),R-13,BIM Technician,21,PARAMETRIC,PKG-002 Structural Engineer — Design Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-11,Foundation Design Package (Variable-Price),R-14,Structural Engineer,49,PARAMETRIC,PKG-002 Structural Engineer — Design Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-12,Structural Specification,R-01,Project Manager,6,PARAMETRIC,PKG-002 Structural Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-12,Structural Specification,R-08,Cost Estimator,4,PARAMETRIC,PKG-002 Structural Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-12,Structural Specification,R-13,BIM Technician,18,PARAMETRIC,PKG-002 Structural Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-002-12,Structural Specification,R-14,Structural Engineer,42,PARAMETRIC,PKG-002 Structural Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-01,Preliminary Mechanical Design,R-01,Project Manager,6,PARAMETRIC,PKG-003 Mechanical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-01,Preliminary Mechanical Design,R-08,Cost Estimator,4,PARAMETRIC,PKG-003 Mechanical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-01,Preliminary Mechanical Design,R-13,BIM Technician,18,PARAMETRIC,PKG-003 Mechanical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-01,Preliminary Mechanical Design,R-15,Mechanical Engineer,42,PARAMETRIC,PKG-003 Mechanical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-02,HVAC Layout Plans,R-01,Project Manager,6,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-02,HVAC Layout Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-02,HVAC Layout Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-02,HVAC Layout Plans,R-15,Mechanical Engineer,84,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-03,Ductwork & Distribution Plans,R-01,Project Manager,6,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-03,Ductwork & Distribution Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-03,Ductwork & Distribution Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-03,Ductwork & Distribution Plans,R-15,Mechanical Engineer,84,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-04,Exhaust System Plans,R-01,Project Manager,6,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-04,Exhaust System Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-04,Exhaust System Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-04,Exhaust System Plans,R-15,Mechanical Engineer,84,PARAMETRIC,PKG-003 Mechanical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-05,Mechanical Equipment Schedule,R-01,Project Manager,6,PARAMETRIC,PKG-003 Mechanical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-05,Mechanical Equipment Schedule,R-08,Cost Estimator,4,PARAMETRIC,PKG-003 Mechanical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-05,Mechanical Equipment Schedule,R-13,BIM Technician,12,PARAMETRIC,PKG-003 Mechanical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-05,Mechanical Equipment Schedule,R-15,Mechanical Engineer,28,PARAMETRIC,PKG-003 Mechanical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-06,Mechanical Calculation Package,R-01,Project Manager,6,PARAMETRIC,PKG-003 Mechanical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-06,Mechanical Calculation Package,R-08,Cost Estimator,4,PARAMETRIC,PKG-003 Mechanical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-06,Mechanical Calculation Package,R-13,BIM Technician,24,PARAMETRIC,PKG-003 Mechanical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-06,Mechanical Calculation Package,R-15,Mechanical Engineer,56,PARAMETRIC,PKG-003 Mechanical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-07,Mechanical Specification,R-01,Project Manager,6,PARAMETRIC,PKG-003 Mechanical Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-07,Mechanical Specification,R-08,Cost Estimator,4,PARAMETRIC,PKG-003 Mechanical Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-07,Mechanical Specification,R-13,BIM Technician,18,PARAMETRIC,PKG-003 Mechanical Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-003-07,Mechanical Specification,R-15,Mechanical Engineer,42,PARAMETRIC,PKG-003 Mechanical Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-01,Preliminary Electrical Design,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-01,Preliminary Electrical Design,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-01,Preliminary Electrical Design,R-13,BIM Technician,18,PARAMETRIC,PKG-004 Electrical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-01,Preliminary Electrical Design,R-16,Electrical Engineer,42,PARAMETRIC,PKG-004 Electrical Engineer — Design Presentation
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-02,Single-Line Diagram,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-02,Single-Line Diagram,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-02,Single-Line Diagram,R-13,BIM Technician,36,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-02,Single-Line Diagram,R-16,Electrical Engineer,84,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-03,Power Distribution Plans,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-03,Power Distribution Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-03,Power Distribution Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-03,Power Distribution Plans,R-16,Electrical Engineer,84,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-04,Lighting Plans,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-04,Lighting Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-04,Lighting Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-04,Lighting Plans,R-16,Electrical Engineer,84,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-05,Receptacle Layout Plans,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-05,Receptacle Layout Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-05,Receptacle Layout Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-05,Receptacle Layout Plans,R-16,Electrical Engineer,84,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-06,Panel Schedules,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-06,Panel Schedules,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-06,Panel Schedules,R-13,BIM Technician,12,PARAMETRIC,PKG-004 Electrical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-06,Panel Schedules,R-16,Electrical Engineer,28,PARAMETRIC,PKG-004 Electrical Engineer — Schedule
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-07,Low-Voltage System Plans,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-07,Low-Voltage System Plans,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-07,Low-Voltage System Plans,R-13,BIM Technician,36,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-07,Low-Voltage System Plans,R-16,Electrical Engineer,84,PARAMETRIC,PKG-004 Electrical Engineer — Drawing Set
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-08,Electrical Calculation Package,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-08,Electrical Calculation Package,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-08,Electrical Calculation Package,R-13,BIM Technician,24,PARAMETRIC,PKG-004 Electrical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-08,Electrical Calculation Package,R-16,Electrical Engineer,56,PARAMETRIC,PKG-004 Electrical Engineer — Calculation Package
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-09,Electrical Specification,R-01,Project Manager,6,PARAMETRIC,PKG-004 Electrical Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-09,Electrical Specification,R-08,Cost Estimator,4,PARAMETRIC,PKG-004 Electrical Engineer — Specification
AB-2026-01424-WDMLRL-2026-Claude,DEL-004-09,Electrical Specification,R-13,BIM Technician,18,PARAMETRIC,PKG-004 Electrical Engineer — Specification
