CBS_Code,CBS_L1,CBS_L2,Description,Examples,ApplicablePackages
CBS-12,Interior Construction,"Partitions, Finishes & Fit-Out","Interior partitions (metal stud, drywall), flooring, painting, ceiling systems, fire protection, access panels, MEP openings, and interior fit-out.","03-FitOut, 03-Partitions, 03-Floor Finishes, FINISHES, 03-Interior Partitions",PKG-011; PKG-012
CBS-13,Mechanical,HVAC Equipment & Distribution,"HVAC heating units, air exchangers, makeup air units, ductwork, piping, fire/smoke dampers, MEP rough-in, and electrical connections for mechanical equipment.","MECHANICAL-DUCTWORK, MECHANICAL_EQUIPMENT, MECHANICAL-EQUIP, MEP_ROUGHIN",PKG-011; PKG-013
CBS-14,Mechanical,Controls & Commissioning,"HVAC controls, BMS integration, sensors, actuators, mechanical commissioning, test and balance (TAB).","MECHANICAL-CONTROLS, MECHANICAL_CONTROLS, MECHANICAL-COMMISSIONING",PKG-013
CBS-15,Mechanical,Administration & Permits,"Mechanical submittals, as-built documentation, O&M manuals, mechanical permits, logistics, and training.","MECHANICAL-ADMIN, MECHANICAL-PERMIT, MECHANICAL-LOGISTICS",PKG-013
CBS-16,Plumbing,Plumbing Systems,"Plumbing materials, fixtures, piping, demolition, sitework, testing, electrical connections, permits, and administration.","PLUMBING-MATERIAL, MAT-PLUMB, 14-PLUMB-FIXT, PLUMBING-DEMOLITION, PLUMBING",PKG-014; PKG-018
CBS-17,Electrical,Power Distribution & Equipment,"Electrical equipment (switchgear, panels, transformers), main service entrance, distribution, grounding/bonding, devices, and underground electrical.","Electrical-Equipment, ELECTRICAL-SERVICE, ELECTRICAL-DISTRIBUTION, ELECTRICAL-DEVICES",PKG-011; PKG-015
CBS-18,Electrical,Low Voltage & Communications,"Low voltage systems including data/communications cabling, security cameras, access control, and fire alarm.",ELECTRICAL-LV,PKG-015
CBS-19,Electrical,Commissioning & Administration,"Electrical commissioning, continuity testing, AHJ inspections, permits, as-built documentation, and coordination.","ELECTRICAL-COMMISSIONING, ELECTRICAL-CX, ELECTRICAL-INSPECTION, ELECTRICAL-PERMITS",PKG-015
CBS-20,Equipment,Process & Facility Equipment,"Major facility equipment including overhead cranes, anti-collision systems, specialty equipment, and equipment rental.","EQUIP, Equipment, EQUIPMENT, Equipment-Rental",PKG-011; PKG-013; PKG-014; PKG-015; PKG-016
CBS-21,Materials,General Materials & Supplies,"General and mixed materials, supply-and-install composites where material/labour not separated, and miscellaneous supplies.","Materials, MATERIAL, MATERIALS, MATERIAL+LABOUR, MATL",PKG-011; PKG-013; PKG-014; PKG-015; PKG-018; PKG-021
CBS-22,Sitework & Civil,"Earthwork, Surfacing & Landscaping","Excavation, grading, compaction, fill, gravel surfacing, asphalt paving, landscaping, site restoration, and demolition.","Earthworks, EARTHWORK, Surfacing, SITE.GRAVEL, Landscaping, DEMOLITION",PKG-010; PKG-011; PKG-017; PKG-018
CBS-23,Sitework & Civil,Underground Utilities & Site Services,"Underground piping, conduit, storm/sanitary services, water lines, and temporary/permanent site services.","Underground Utilities, UNDERGROUND, Construction -- Site Services",PKG-018
CBS-24,Utilities,Utility Connections,"Utility company connections for electrical service, natural gas service, and communications/data service.","Utility -- Electrical, Utility -- Natural Gas, Utility -- Communications",PKG-018
CBS-25,Commissioning & Testing,"Commissioning, Testing & Inspection","Integrated systems commissioning, functional testing, laboratory materials testing, third-party inspections, and verification.","COMMISSIONING, Commissioning, TESTING, Laboratory Testing, VERIFICATION",PKG-008; PKG-010; PKG-013; PKG-014; PKG-016; PKG-017; PKG-018
CBS-26,"Quality, Safety & Environment",HSE & Quality Assurance,"Health/safety/environment management, QA/QC programs, inspections, deficiency tracking, environmental compliance.","SAFETY, HSE, QA_QC, Quality Assurance, ENVIRO",PKG-011; PKG-013; PKG-014; PKG-015; PKG-017; PKG-018; PKG-019
CBS-27,Survey & Investigation,Survey & Field Investigation,"Land surveys, as-built surveys, geotechnical field investigation (drilling, sampling, monitoring, restoration), and environmental investigation.","SURVEY, Survey, Field Investigation -- Mobilization, Field Investigation -- Drilling",PKG-008; PKG-010; PKG-018
CBS-28,"Permits, Fees & Insurance","Permits, Fees & Bonding","Building permits, safety code permits, inspection fees, regulatory fees, performance bonds, and insurance premiums.","Fees and Permits, Permits, PERMITS, Bonding, REGULATORY",PKG-001; PKG-012; PKG-013; PKG-014; PKG-015; PKG-018; PKG-021
CBS-29,General Conditions,General Requirements & Indirect,"General conditions, temporary facilities, documentation/closeout, freight/logistics, procurement, preconstruction, specialty items, contingency, and indirect costs.","01-GENERAL, CLOSEOUT, FREIGHT, CONTINGENCY, PROCUREMENT, Specialty",PKG-002; PKG-006; PKG-009; PKG-011; PKG-012; PKG-013; PKG-014; PKG-015; PKG-016; PKG-017; PKG-018; PKG-020; PKG-021
