FromPackageID,FromDeliverableID,FromDeliverableName,DetailPath,RunContextPath,AssumptionsPath,RisksPath,SchemaStatus,Notes
PKG-002,DEL-02-04,"Structure, Envelope, Roof & Overhead Doors",examples/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-002,DEL-02-05,"Mechanical, Plumbing, Ventilation & Exhaust",examples/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-02-05_2026-02-18_1400/Risk_Register.md,OK,
PKG-002,DEL-02-06,"Electrical Power, Lighting, IT/Telecom & PA",examples/execution-6a/_Estimates/EST_DEL-02-06_2026-02-18_1500/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-02-06_2026-02-18_1500/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-02-06_2026-02-18_1500/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-002,DEL-02-07,Emergency Power & Backup Generator,examples/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Risk_Register.md,OK,
PKG-003,DEL-03-01,"Site Plan, Circulation & Parking Design",examples/execution-6a/_Estimates/EST_DEL-03-01_2026-02-18_1900/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-03-01_2026-02-18_1900/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-03-01_2026-02-18_1900/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-003,DEL-03-02,"Earthworks, Grading & Drainage",examples/execution-6a/_Estimates/EST_DEL-03-02_2026-02-18_1130/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-03-02_2026-02-18_1130/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-03-02_2026-02-18_1130/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-03-02_2026-02-18_1130/Risk_Register.md,OK,
PKG-003,DEL-03-03,"Paving, Surfacing & Site Improvements",examples/execution-6a/_Estimates/EST_DEL-03-03_2026-02-18_1200/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-03-03_2026-02-18_1200/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-03-03_2026-02-18_1200/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-003,DEL-03-04,Underground Utilities & Service Connections,examples/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-03-04_2026-02-18_2100/Risk_Register.md,OK,
PKG-003,DEL-03-05,"Environmental, Regulatory & Permitting",examples/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-03-05_2026-02-18_2000/Risk_Register.md,OK,
PKG-004,DEL-04-01,Cold Storage Building Shell (60x100 ft PEMB),examples/execution-6a/_Estimates/EST_DEL-04-01_2026-02-18_1200/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-04-01_2026-02-18_1200/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-04-01_2026-02-18_1200/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-04-01_2026-02-18_1200/Risk_Register.md,OK,
PKG-004,DEL-04-02,"Cold Storage Doors, Openings & Hardware",examples/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-004,DEL-04-03,Cold Storage Foundation & Floor Slab,examples/execution-6a/_Estimates/EST_DEL-04-03_2026-02-18_1400/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-04-03_2026-02-18_1400/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-04-03_2026-02-18_1400/Assumptions_Log.md,NOT_PRESENT,OK,
PKG-004,DEL-04-04,Cold Storage Electrical & Ventilation,examples/execution-6a/_Estimates/EST_DEL-04-04_2026-02-18_1500/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-04-04_2026-02-18_1500/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-04-04_2026-02-18_1500/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-04-04_2026-02-18_1500/Risk_Register.md,OK,
PKG-005,DEL-05-01,Option: Built-In Vehicle Wash Bay,examples/execution-6a/_Estimates/EST_DEL-05-01_2026-02-18_1500/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-05-01_2026-02-18_1500/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-05-01_2026-02-18_1500/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-05-01_2026-02-18_1500/Risk_Register.md,OK,
PKG-005,DEL-05-02,Option: Yard Lighting,examples/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-05-02_2026-02-18_1600/Risk_Register.md,OK,
PKG-005,DEL-05-03,Option: Access Control System,examples/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-05-03_2026-02-18_1700/Risk_Register.md,OK,
PKG-005,DEL-05-04,Option: Security Camera System,examples/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-05-04_2026-02-18_1800/Risk_Register.md,OK,
PKG-005,DEL-05-05,Option: Town Branding Signage,examples/execution-6a/_Estimates/EST_DEL-05-05_2026-02-18_1800/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-05-05_2026-02-18_1800/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-05-05_2026-02-18_1800/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-05-05_2026-02-18_1800/Risk_Register.md,OK,2 mutually exclusive scenarios (primary=$12k non-illuminated; alternate=$22k illuminated)
PKG-005,DEL-05-06,Option: Kitchen & Laundry Appliances,examples/execution-6a/_Estimates/EST_DEL-05-06_2026-02-18_1900/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-05-06_2026-02-18_1900/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-05-06_2026-02-18_1900/Assumptions_Log.md,examples/execution-6a/_Estimates/EST_DEL-05-06_2026-02-18_1900/Risk_Register.md,OK,
PKG-005,DEL-05-07,Option: FF&E Cash Allowance,examples/execution-6a/_Estimates/EST_DEL-05-07_2026-02-18_2200/Detail.csv,examples/execution-6a/_Estimates/EST_DEL-05-07_2026-02-18_2200/Run_Context.md,examples/execution-6a/_Estimates/EST_DEL-05-07_2026-02-18_2200/Assumptions_Log.md,NOT_PRESENT,OK,
