Execution,DeliverableID,DeliverableName,RoleID,Role,EstimatedHours,Basis,Notes
6b,DEL-04-01,Building Envelope & Energy Strategy,R-27,Building Science Consultant,12,PARAMETRIC,Thermal performance; air barrier; thermal bridging; energy code
6b,DEL-04-01,Building Envelope & Energy Strategy,R-04,Architect (Project),4,PARAMETRIC,Envelope coordination input
6b,DEL-04-02,Mechanical Energy & Solar Readiness,R-11,Mechanical Engineer (Senior),10,PARAMETRIC,High-efficiency equipment; heat recovery; solar-ready mechanical; metering
6b,DEL-04-03,Electrical Energy Efficiency,R-13,Electrical Engineer (Senior),8,PARAMETRIC,LED controls; motor efficiency; solar-ready electrical; metering
6b,DEL-05-01,Architectural Durability & Maintenance,R-04,Architect (Project),10,PARAMETRIC,Cladding; roofing; finishes lifecycle; doors/hardware; moisture management
6b,DEL-05-02,Structural Durability & Maintenance,R-09,Structural Engineer (Senior),8,PARAMETRIC,Corrosion; freeze-thaw; foundation longevity; slab; inspection access
6b,DEL-05-03,Mechanical Maintainability,R-11,Mechanical Engineer (Senior),8,PARAMETRIC,Equipment access; serviceability; maintenance schedule; lifecycle cost
6b,DEL-05-04,Electrical Maintainability,R-13,Electrical Engineer (Senior),8,PARAMETRIC,Panel accessibility; fixture replacement; control system; IT lifecycle
6b,DEL-06-01,Design Methodology Narrative,R-03,Design Manager,10,PARAMETRIC,Design approach; stakeholder engagement; review process; innovation
6b,DEL-06-01,Design Methodology Narrative,R-02,Project Manager,4,PARAMETRIC,Input on client engagement approach
6b,DEL-06-02,Detailed Design & Construction Documents Plan,R-03,Design Manager,10,PARAMETRIC,5 milestones; discipline deliverables; coordination; QA/QC checkpoints
6b,DEL-06-02,Detailed Design & Construction Documents Plan,R-02,Project Manager,4,PARAMETRIC,Input on review cycles; Owner coordination
6b,DEL-07-01,Construction Methodology Narrative,R-15,Construction Manager,12,PARAMETRIC,H&S; staging; permits; budget/schedule control; communications; QA/QC
6b,DEL-07-01,Construction Methodology Narrative,R-02,Project Manager,4,PARAMETRIC,Input on project controls approach
6b,DEL-07-02,Construction Administration Narrative,R-15,Construction Manager,8,PARAMETRIC,Supervision; document management; shop drawings; cleaning
6b,DEL-07-03,Subconsultant Approach Narrative,R-02,Project Manager,8,PARAMETRIC,Discipline listing; management approach; geotech review protocol
6b,DEL-07-04,Meetings & Reporting Narrative,R-02,Project Manager,6,PARAMETRIC,Meeting structure; frequency; reporting cadence
6b,DEL-07-05,Quality Management Narrative,R-23,Quality Lead,8,PARAMETRIC,Design QC; construction QC; commissioning QC; documentation QC
6b,DEL-07-05,Quality Management Narrative,R-02,Project Manager,4,PARAMETRIC,Input on quality framework
6b,DEL-08-01,Commissioning Training & Closeout Narrative,R-21,Commissioning Lead,10,PARAMETRIC,Commissioning approach; training; O&M; as-built; handover
6b,DEL-08-01,Commissioning Training & Closeout Narrative,R-02,Project Manager,4,PARAMETRIC,Input on closeout process
6b,DEL-08-02,Deficiencies Management Narrative,R-21,Commissioning Lead,6,PARAMETRIC,Punch lists; valuation; holdback; warranty review
6b,DEL-08-02,Deficiencies Management Narrative,R-02,Project Manager,2,PARAMETRIC,Input on deficiency process
6b,DEL-08-03,Warranty Requirements Narrative,R-02,Project Manager,4,PARAMETRIC,12-month warranty; manufacturer warranties; SC provisions
6b,DEL-08-03,Warranty Requirements Narrative,R-21,Commissioning Lead,4,PARAMETRIC,Warranty coordination with commissioning
6b,DEL-09-01,Detailed Project Schedule,R-17,Scheduler,20,PARAMETRIC,Gantt chart production; CPM analysis; milestone dates; assumptions
6b,DEL-09-01,Detailed Project Schedule,R-02,Project Manager,8,PARAMETRIC,Schedule review; milestone validation
6b,DEL-09-01,Detailed Project Schedule,R-15,Construction Manager,4,PARAMETRIC,Construction sequencing input
6b,DEL-10-01,Risk Register & Mitigation Plan,R-02,Project Manager,10,PARAMETRIC,Risk identification; likelihood/impact assessment; mitigation
6b,DEL-10-01,Risk Register & Mitigation Plan,R-15,Construction Manager,4,PARAMETRIC,Construction risk input
6b,DEL-10-02,Site Conditions & Due Diligence Summary,R-02,Project Manager,8,PARAMETRIC,Geotech summary; environmental; flood zone; site grading review
6b,DEL-10-02,Site Conditions & Due Diligence Summary,R-07,Civil Engineer (Senior),6,PARAMETRIC,Technical review of site conditions reports
6b,DEL-10-02,Site Conditions & Due Diligence Summary,R-29,Geotechnical Engineer,4,PARAMETRIC,Existing geotech report interpretation
