AuthorityRef,SourceSection,SourceExcerptSummary,OwningRoot,SecondaryRoot,ScopeClass,ChangeType,TargetCATs,TargetKTYs,SharedTermSet,PublicationImpact,Notes
AUTH-011,"3.5 Product Specifications (intro)","Products of 04-25: pipeline quality sales gas and NGL (C3+). C5+ stabilizer bottoms pumped to 03-25 Liquids Hub. Products of 03-25 Liquids Hub: C5+ condensate.","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","VERIFY_ONLY","West_Doe_Deepcut_DBM:CAT-003 || West_Doe_Comp_and_Liquids_DBM:CAT-003","West_Doe_Deepcut_DBM:KTY-03-02 || West_Doe_Comp_and_Liquids_DBM:KTY-03-03","Sales Gas|NGL|C3+|Condensate|C5+|Stabilizer Bottoms","MEDIUM","Product routing statement connecting both facilities. Deepcut KTY-03-02 is Product Streams; C&L KTY-03-03 is Product Streams. Verify both roots describe compatible product definitions."
AUTH-012,"3.5.1 Sales Gas / table_03_05_01_sales_gas_specifications","Sales gas specifications for Alliance, Enbridge, TCPL Mainline, and TCPL NGTL/ATCO: H2S, total sulphur, CO2, O2, N2, water, HC dewpoint, temperature, gross heating value limits","West_Doe_Deepcut_DBM","","DEEPCUT_ONLY","MODIFY","CAT-003","KTY-03-02","Sales Gas|Alliance|Enbridge|TCPL|TransCanada|NGTL|ATCO|Sales Gas Pipeline","HIGH","Sales gas produced at 04-25 only. Canonical CSV table governs."
AUTH-013,"3.5.2 NGL (C3+) Specification / table_03_05_02_ngl_c3plus_specifications","NGL C3+ (propane plus) product specification per Pembina/NRM: composition limits, contaminants, water, corrosion, odour. Sent to NRM NEBC Connector via LACT.","West_Doe_Deepcut_DBM","","DEEPCUT_ONLY","MODIFY","CAT-003","KTY-03-02","NGL|C3+|Propane Plus|Pembina|NRM|LACT|NRM NEBC Connector","HIGH","NGL produced at 04-25 only. Canonical CSV table governs."
AUTH-014,"3.5.3 Condensate (C5+) Specification / table_03_05_03_condensate_c5plus_specifications / table_03_05_03_capp_butane_equivalent_requirement","Sales condensate C5+ specification per Pembina/NRM: RVP, BS&W, density, sulphur, H2S, mercaptan, contaminant limits. CAPP butane equivalent formula: 3x(C1+C2+C3)+iC4+nC4 < 5.0% LiqVol. Sold to NRM via LACT at 03-25.","West_Doe_Comp_and_Liquids_DBM","","COMP_LIQ_ONLY","MODIFY","CAT-003","KTY-03-03","Condensate|C5+|Pembina|NRM|LACT|CAPP Butane Equivalent|Sales Condensate","HIGH","Sales condensate sold from 03-25 Liquids Hub. Both canonical CSV tables govern."
AUTH-015,"4.1 03-25 Compressor Station","03-25 process description: inlet control/separation, gas compression to 4482-5516 kPag, condensate to 04-25 MPFS for stabilization, produced water to tank farm. Includes separation, metering, compression, LP blanket gas, VRU, LP/HP flare.","West_Doe_Comp_and_Liquids_DBM","","COMP_LIQ_ONLY","MODIFY","CAT-004","KTY-04-01;KTY-04-02;KTY-04-05;KTY-04-14","03-25 Compressor Station|Inlet Separator|Inlet Compressor|VRU","HIGH","Cross-facility routing statements (condensate to 04-25 for stabilization, compressed gas to 04-25) also governed by AUTH-018."
AUTH-016,"4.2 03-25 Liquids Hub","03-25 Liquids Hub process: sour condensate cascading storage, non-regenerative caustic treating for mercaptan removal, sweet condensate to sales tanks (provision for future dehy), off-spec recycle, LACT custody transfer. Produced water storage, H2O2 treatment, pipeline to TOU facility. VRU discharge to 04-25 SOC suction.","West_Doe_Comp_and_Liquids_DBM","","COMP_LIQ_ONLY","MODIFY","CAT-004","KTY-04-08;KTY-04-09;KTY-04-11;KTY-04-12;KTY-04-13;KTY-04-14","03-25 Liquids Hub|Sour Condensate|Non-Regenerative Caustic|Mercaptan Treating|Sales Condensate|Condensate Product|VRU","HIGH","Cross-facility routing statements (VRU discharge to 04-25 SOC, sour condensate from 04-25) also governed by AUTH-018."
AUTH-017,"4.3 04-25 Deep Cut Gas Plant","04-25 process description: inlet separation, condensate stabilization, inlet/sales gas compression to 7791 kPag, amine sweetening (<4 ppmv H2S), TEG dehydration (<10 lb H2O/MMSCF), mol sieve dehydration (<0.1 ppmw), cryogenic turbo-expander C3+ recovery (99+%), de-ethanizer/propane absorber, NGL treating (regenerative caustic) and dehydration, NGL to bullets. Acid gas compression to NRM disposal well. VRU system.","West_Doe_Deepcut_DBM","","DEEPCUT_ONLY","MODIFY","CAT-004","KTY-04-01;KTY-04-02;KTY-04-03;KTY-04-04;KTY-04-05;KTY-04-06;KTY-04-07;KTY-04-08;KTY-04-09;KTY-04-10;KTY-04-11;KTY-04-12;KTY-04-13;KTY-04-14;KTY-04-15;KTY-04-16;KTY-04-17;KTY-04-19;KTY-04-20","04-25 Deep Cut Gas Plant|Amine Sweetening|TEG Dehydration|Molecular Sieve|Cryogenic Turbo-Expander|De-Ethanizer|Propane Absorber|NGL|Regenerative Caustic|Acid Gas","HIGH","Cross-facility routing statements (03-25 gas and condensate receipt, stabilized condensate to 03-25, produced water to 03-25) also governed by AUTH-018."
AUTH-018,"4.1 / 4.2 / 4.3 Cross-facility process routing","Cross-fence material flows: (1) 03-25 compressed gas to 04-25 at 4482-5516 kPag; (2) 03-25 raw condensate to 04-25 MPFS/stabilizers; (3) 04-25 stabilized condensate to 03-25 Liquids Hub for treatment; (4) 04-25 produced water to 03-25 Liquids Hub; (5) 03-25 + 04-25 VRU discharge to 04-25 SOC suction","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-004 || West_Doe_Comp_and_Liquids_DBM:CAT-004","West_Doe_Deepcut_DBM:KTY-04-01;KTY-04-04;KTY-04-05;KTY-04-06;KTY-04-07;KTY-04-19;KTY-04-20 || West_Doe_Comp_and_Liquids_DBM:KTY-04-02;KTY-04-05;KTY-04-08;KTY-04-11;KTY-04-13;KTY-04-14","Cross-Fence|Stabilized Condensate|Raw Condensate|Wet Sour Gas|Produced Water|VRU|SOC Suction","HIGH","Deepcut normalizes routing descriptions. Deepcut KTY-04-01=Inlet Pipeline; KTY-04-04=MPFS; KTY-04-05=Inlet Stabilizer; KTY-04-06=SOC; KTY-04-07=Inlet/Sales Compressors; KTY-04-19=Product Storage; KTY-04-20=VRU. C&L KTY-04-02=Inlet Separator; KTY-04-05=Inlet Compressors; KTY-04-08=Condensate Pipelines; KTY-04-11=Condensate Storage; KTY-04-13=PW Storage; KTY-04-14=VRU."
AUTH-019,"5.1 03-25 Compressor Station and Liquids Hub equipment","03-25 major equipment sizing: 2x 9'x40' 600# inlet separators (2264 e3m3/d gas, 1111 m3/d condensate, 3600 m3/d water), 2x Ariel KBC/6 inlet compressors (5200 hp), condensate mercaptan treating (3180 m3/d), 2x VRUs (200 hp), 11x 3800 bbl condensate tanks, 7x 3800 bbl PW tanks, pump module, 3x truck loading stations, H2O2 treatment (3840 m3/d), HP/LP/incinerator KO drums, condensate LACT","West_Doe_Comp_and_Liquids_DBM","","COMP_LIQ_ONLY","MODIFY","CAT-004;CAT-005","KTY-04-01;KTY-04-02;KTY-04-05;KTY-04-09;KTY-04-11;KTY-04-12;KTY-04-13;KTY-04-14;KTY-05-05","","HIGH",""
AUTH-020,"5.2 04-25 Deep Cut Gas Plant equipment","04-25 major equipment sizing: 2x HP inlet separators (6368 e3m3/d gas each at 50%), 5x Ariel KBC/6 inlet/sales compressors (6700 hp), 1x sales gas booster (6700 hp), 2x acid gas compressors, inlet/TEG cross exchanger, amine unit (8490 e3m3/d, Jefftreat 300 MDEA), TEG dehy (8490 e3m3/d), mol sieve dehy (3 tower), cryo turbo-expander (99+% C3+ recovery), sales gas coalescer/splitter, MPFS, 3x stabilizers (1272 m3/d each at 40%), 2x SOCs (2700 hp), 2x VRUs, NGL caustic treating (2385 m3/d), NGL mol sieve dehy, 16x 120000 USG NGL bullets, produced water and slop tanks, NGL loading pumps and stations, NGL LACT","West_Doe_Deepcut_DBM","","DEEPCUT_ONLY","MODIFY","CAT-004","KTY-04-01;KTY-04-02;KTY-04-03;KTY-04-04;KTY-04-05;KTY-04-06;KTY-04-07;KTY-04-08;KTY-04-09;KTY-04-12;KTY-04-13;KTY-04-14;KTY-04-15;KTY-04-16;KTY-04-17;KTY-04-19;KTY-04-20","","HIGH",""
AUTH-021,"5.2 HP/cryo and LP dual flare stack","Dual flare stack: 660 mm (26 in) OD HP/cryo x TBD OD LP x 60957 mm (200 ft) tall. Sonic HP/cryo stack. Located at 03-25 and shared between 04-25 deep cut and 03-25 liquids hub and compressor station.","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-005 || West_Doe_Comp_and_Liquids_DBM:CAT-005","West_Doe_Deepcut_DBM:KTY-05-05 || West_Doe_Comp_and_Liquids_DBM:KTY-05-05","Flare Stack|Dual Flare|HP/Cryo Flare|LP Flare|Sonic Flare","HIGH","Flare stack physically at 03-25 but shared. This is the unresolved boundary issue (ISS-006-003 through ISS-006-007 in Comp & Liquids). Deepcut normalizes wording; both roots must describe compatible flare scope."
AUTH-022,"5.2 Incinerator","Incinerator and incinerator knockout drum. Located at 03-25 and shared between 04-25 deep cut and 03-25 liquids hub.","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-005 || West_Doe_Comp_and_Liquids_DBM:CAT-005","West_Doe_Deepcut_DBM:KTY-05-05 || West_Doe_Comp_and_Liquids_DBM:KTY-05-05","Incinerator|Incinerator Knockout Drum","HIGH","Incinerator physically at 03-25 but shared. Scope boundary coordination required per SCA-002 acknowledgment."
AUTH-023,"5.2 Shared utilities infrastructure","Fuel gas (including buyback), instrument air, heat medium, hydrocarbon drain, utility storage tanks and pumps, back-up gas fired generator. Fuel gas and instrument air buildings located at 04-25 and shared between gas plant, liquids hub and compressor station. Back-up generator supplies emergency power to both 04-25 and 03-25.","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-005;CAT-012 || West_Doe_Comp_and_Liquids_DBM:CAT-005;CAT-012","West_Doe_Deepcut_DBM:KTY-05-01;KTY-05-02;KTY-05-03;KTY-05-04;KTY-05-07;KTY-12-04 || West_Doe_Comp_and_Liquids_DBM:KTY-05-01;KTY-05-02;KTY-05-04;KTY-05-07;KTY-12-04","Fuel Gas|Instrument Air|Heat Medium|Hydrocarbon Drain|Emergency Generator|Fuel Gas Building|Instrument Air Building|Buyback Gas","HIGH","Deepcut normalizes utility descriptions. Buildings at 04-25; service extends to 03-25. C&L KTY-05-03 (Heat Medium) excluded from C&L targets because RETIRED by SCA-002."
AUTH-024,"5.3 Product Storage Summary / table_05_03_product_storage_summary","Storage summary for both facilities: 04-25 C3+ (16x 120000 USG bullets, 2.5 days), 04-25 produced water (2x 2000 bbl, 8.9 days), 04-25 slop (2x 2000 bbl), 03-25 sour C5+ (6x 3800 bbl per source, 1.0 day each), 03-25 treated C5+ (4x 3800 bbl, 0.6 days), 03-25 produced water (7x 3800 bbl, 1.0 day), 03-25 slop (1x 3800 bbl)","West_Doe_Comp_and_Liquids_DBM","West_Doe_Deepcut_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Comp_and_Liquids_DBM:CAT-003;CAT-004 || West_Doe_Deepcut_DBM:CAT-003;CAT-004","West_Doe_Comp_and_Liquids_DBM:KTY-03-03;KTY-04-11;KTY-04-13 || West_Doe_Deepcut_DBM:KTY-03-02;KTY-04-19","NGL Storage|Condensate Storage|Produced Water Storage|Slop Tank|Storage Capacity|Days of Storage","HIGH","Canonical CSV table governs. C&L KTY-03-03 is Product Streams; C&L KTY-04-11 is Condensate Storage; C&L KTY-04-13 is PW Storage. Deepcut KTY-03-02 is Product Streams; Deepcut KTY-04-19 is Product Storage and Pumps."
AUTH-025,"6 Existing Facility Interfaces — Acid gas disposal","Existing acid gas disposal well/reservoir shared between expansion facilities. Incremental acid gas volume may result in facility modifications at 02-25 for acid gas injection scope.","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","MODIFY","West_Doe_Deepcut_DBM:CAT-004 || West_Doe_Comp_and_Liquids_DBM:CAT-001","West_Doe_Deepcut_DBM:KTY-04-10;KTY-04-11 || West_Doe_Comp_and_Liquids_DBM:KTY-01-03","Acid Gas Disposal Well|02-25|Existing Facility","MEDIUM","Acid gas from 04-25 amine unit is the primary flow. Deepcut KTY-04-10 is Acid Gas Injection Compression; KTY-04-11 is Acid Gas Disposal Well. C&L reference via scope delineation (KTY-01-03)."
AUTH-026,"6 Existing Facility Interfaces — Sales gas pipeline and metering","Sales gas pipeline to Enbridge meter station shared with existing facility. Metering system design for both new facilities shall be independent; integrated streams independently metered to ensure mass balance accuracy.","West_Doe_Deepcut_DBM","West_Doe_Comp_and_Liquids_DBM","SHARED_INTERFACE","VERIFY_ONLY","West_Doe_Deepcut_DBM:CAT-001;CAT-004 || West_Doe_Comp_and_Liquids_DBM:CAT-001","West_Doe_Deepcut_DBM:KTY-01-03;KTY-04-15 || West_Doe_Comp_and_Liquids_DBM:KTY-01-03","Enbridge Meter Station|Metering Independence|Existing Facility|Sales Gas Pipeline","MEDIUM","Deepcut KTY-04-15 is Sales Gas Filter Coalescer/Splitter and Sales Gas Pipelines. Both roots carry scope delineation (KTY-01-03)."
