DeliverableID,PackageID,ConcreteProductionUnitLabel,ConcretePartitionLabel,FolderExists,ContextPresent,ContextMatch,ArtifactCoverage,ObjectivesMapped,LifecycleState,IssueCount
DEL-003-03,PKG-003,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-003-04,PKG-003,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-003-05,PKG-003,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-003-06,PKG-003,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-003-07,PKG-003,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-01,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-02,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-03,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-04,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-05,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-06,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-07,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-08,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-004-09,PKG-004,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-005-01,PKG-005,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-005-02,PKG-005,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-005-03,PKG-005,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-005-04,PKG-005,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-005-05,PKG-005,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-005-06,PKG-005,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-005-07,PKG-005,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-01,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-02,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-03,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-04,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-05,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-06,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-07,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-006-08,PKG-006,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-007-01,PKG-007,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-007-02,PKG-007,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-007-03,PKG-007,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-007-04,PKG-007,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-008-01,PKG-008,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-008-02,PKG-008,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-008-03,PKG-008,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-008-04,PKG-008,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-009-01,PKG-009,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-009-02,PKG-009,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-009-03,PKG-009,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-009-04,PKG-009,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-010-01,PKG-010,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-011-01,PKG-011,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-011-02,PKG-011,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-011-03,PKG-011,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-011-04,PKG-011,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-011-05,PKG-011,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-011-06,PKG-011,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-011-07,PKG-011,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-012-01,PKG-012,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-012-02,PKG-012,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-012-03,PKG-012,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-013-01,PKG-013,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-013-02,PKG-013,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-013-03,PKG-013,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-013-04,PKG-013,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-013-05,PKG-013,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-013-06,PKG-013,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-014-01,PKG-014,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-014-02,PKG-014,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-014-03,PKG-014,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-014-04,PKG-014,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-014-05,PKG-014,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-014-06,PKG-014,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-015-01,PKG-015,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-015-02,PKG-015,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-015-03,PKG-015,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-015-04,PKG-015,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-015-05,PKG-015,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-016-01,PKG-016,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-017-01,PKG-017,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-017-02,PKG-017,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-017-03,PKG-017,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-017-04,PKG-017,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-018-01,PKG-018,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-018-02,PKG-018,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-018-03,PKG-018,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-018-04,PKG-018,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-018-05,PKG-018,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-018-06,PKG-018,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-019-01,PKG-019,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-019-02,PKG-019,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-019-03,PKG-019,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-019-04,PKG-019,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-020-01,PKG-020,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-020-02,PKG-020,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-020-03,PKG-020,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-021-01,PKG-021,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-021-02,PKG-021,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-021-03,PKG-021,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-021-04,PKG-021,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
DEL-021-05,PKG-021,Deliverable,Package,true,true,MATCH,1/1,MAPPED,SEMANTIC_READY,0
