DeliverableID,PackageID,DependenciesCsv,CoverageStatus,EdgeRowsIncluded
DEL-008-04,PKG-008,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-008_Geotechnical Investigation & Surveying/1_Working/DEL-008-04_As-Built-Survey/Dependencies.csv,OK,1
DEL-009-01,PKG-009,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-009_Permitting & Regulatory Compliance/1_Working/DEL-009-01_Development-Permit/Dependencies.csv,OK,3
DEL-009-02,PKG-009,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-009_Permitting & Regulatory Compliance/1_Working/DEL-009-02_Building-Permit/Dependencies.csv,OK,1
DEL-009-03,PKG-009,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-009_Permitting & Regulatory Compliance/1_Working/DEL-009-03_Safety-Code-Permits/Dependencies.csv,OK,1
DEL-009-04,PKG-009,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-009_Permitting & Regulatory Compliance/1_Working/DEL-009-04_Code-Compliance-Register/Dependencies.csv,OK,3
DEL-010-01,PKG-010,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-010_Foundation Construction/1_Working/DEL-010-01_Foundation-Construction/Dependencies.csv,OK,5
DEL-011-01,PKG-011,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-011_Building Structure & Envelope/1_Working/DEL-011-01_Superstructure/Dependencies.csv,OK,12
DEL-011-02,PKG-011,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-011_Building Structure & Envelope/1_Working/DEL-011-02_Steel-Embedments/Dependencies.csv,OK,3
DEL-011-03,PKG-011,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-011_Building Structure & Envelope/1_Working/DEL-011-03_Repair-Bays/Dependencies.csv,OK,9
DEL-011-04,PKG-011,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-011_Building Structure & Envelope/1_Working/DEL-011-04_Doors-Entrances/Dependencies.csv,OK,3
DEL-011-05,PKG-011,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-011_Building Structure & Envelope/1_Working/DEL-011-05_Wash-Bay-Enclosure/Dependencies.csv,OK,4
DEL-011-06,PKG-011,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-011_Building Structure & Envelope/1_Working/DEL-011-06_Service-Pit/Dependencies.csv,OK,1
DEL-011-07,PKG-011,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-011_Building Structure & Envelope/1_Working/DEL-011-07_Mezzanine/Dependencies.csv,OK,5
DEL-012-01,PKG-012,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-012_Interior Construction & Fit-Out/1_Working/DEL-012-01_Parts-Room/Dependencies.csv,OK,3
DEL-012-02,PKG-012,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-012_Interior Construction & Fit-Out/1_Working/DEL-012-02_Utility-Room/Dependencies.csv,OK,1
DEL-012-03,PKG-012,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-012_Interior Construction & Fit-Out/1_Working/DEL-012-03_Office/Dependencies.csv,OK,1
DEL-013-01,PKG-013,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-013_Mechanical & HVAC Installation/1_Working/DEL-013-01_Heating-System/Dependencies.csv,OK,7
DEL-013-02,PKG-013,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-013_Mechanical & HVAC Installation/1_Working/DEL-013-02_Air-Exchanger/Dependencies.csv,OK,6
DEL-013-03,PKG-013,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-013_Mechanical & HVAC Installation/1_Working/DEL-013-03_Makeup-Air/Dependencies.csv,OK,8
DEL-013-04,PKG-013,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-013_Mechanical & HVAC Installation/1_Working/DEL-013-04_Equipment-Exhaust/Dependencies.csv,OK,2
DEL-013-05,PKG-013,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-013_Mechanical & HVAC Installation/1_Working/DEL-013-05_Welding-Exhaust/Dependencies.csv,OK,0
DEL-013-06,PKG-013,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-013_Mechanical & HVAC Installation/1_Working/DEL-013-06_Ceiling-Fans/Dependencies.csv,OK,3
DEL-014-01,PKG-014,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-014_Plumbing & Water Systems Installation/1_Working/DEL-014-01_Cistern/Dependencies.csv,OK,3
DEL-014-02,PKG-014,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-014_Plumbing & Water Systems Installation/1_Working/DEL-014-02_Septic/Dependencies.csv,OK,1
DEL-014-03,PKG-014,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-014_Plumbing & Water Systems Installation/1_Working/DEL-014-03_Bulk-Water/Dependencies.csv,OK,2
DEL-014-04,PKG-014,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-014_Plumbing & Water Systems Installation/1_Working/DEL-014-04_Floor-Drains/Dependencies.csv,OK,1
DEL-014-05,PKG-014,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-014_Plumbing & Water Systems Installation/1_Working/DEL-014-05_Emergency-Shower/Dependencies.csv,OK,2
DEL-014-06,PKG-014,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-014_Plumbing & Water Systems Installation/1_Working/DEL-014-06_Fixtures/Dependencies.csv,OK,5
DEL-015-01,PKG-015,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-015_Electrical & Low-Voltage Installation/1_Working/DEL-015-01_Power-Service/Dependencies.csv,OK,0
DEL-015-02,PKG-015,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-015_Electrical & Low-Voltage Installation/1_Working/DEL-015-02_Lighting/Dependencies.csv,OK,3
DEL-015-03,PKG-015,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-015_Electrical & Low-Voltage Installation/1_Working/DEL-015-03_Receptacles/Dependencies.csv,OK,4
DEL-015-04,PKG-015,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-015_Electrical & Low-Voltage Installation/1_Working/DEL-015-04_Equipment-Power/Dependencies.csv,OK,4
DEL-015-05,PKG-015,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-015_Electrical & Low-Voltage Installation/1_Working/DEL-015-05_Low-Voltage/Dependencies.csv,OK,2
DEL-016-01,PKG-016,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-016_Crane & Lifting Equipment/1_Working/DEL-016-01_Overhead-Cranes/Dependencies.csv,OK,2
DEL-017-01,PKG-017,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-017_Existing Building Renovation (Old North Shop)/1_Working/DEL-017-01_Kitchenette-Reno/Dependencies.csv,OK,2
DEL-017-02,PKG-017,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-017_Existing Building Renovation (Old North Shop)/1_Working/DEL-017-02_Mezzanine-Reno/Dependencies.csv,OK,0
DEL-017-03,PKG-017,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-017_Existing Building Renovation (Old North Shop)/1_Working/DEL-017-03_Washroom-Reno/Dependencies.csv,OK,2
DEL-017-04,PKG-017,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-017_Existing Building Renovation (Old North Shop)/1_Working/DEL-017-04_Locker-Room/Dependencies.csv,OK,4
DEL-018-01,PKG-018,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-01_Topsoil-Strip/Dependencies.csv,OK,1
DEL-018-02,PKG-018,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-02_Grading-Landscape/Dependencies.csv,OK,6
DEL-018-03,PKG-018,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-03_Driving-Surface/Dependencies.csv,OK,4
DEL-018-04,PKG-018,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-04_Pads/Dependencies.csv,OK,4
DEL-018-05,PKG-018,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-05_Wash-Bay-Drainage/Dependencies.csv,OK,4
DEL-018-06,PKG-018,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-018_Sitework & Civil Construction/1_Working/DEL-018-06_Utility-Tieins/Dependencies.csv,OK,4
DEL-019-01,PKG-019,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-019_Construction Management & OH&S/1_Working/DEL-019-01_Prime-Contractor/Dependencies.csv,OK,2
DEL-019-02,PKG-019,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-019_Construction Management & OH&S/1_Working/DEL-019-02_Weekly-Coordination/Dependencies.csv,OK,1
DEL-019-03,PKG-019,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-019_Construction Management & OH&S/1_Working/DEL-019-03_Subcontractor-Mgmt/Dependencies.csv,OK,2
DEL-019-04,PKG-019,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-019_Construction Management & OH&S/1_Working/DEL-019-04_QC-Management/Dependencies.csv,OK,1
DEL-020-01,PKG-020,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-020_Commissioning & Closeout/1_Working/DEL-020-01_Commissioning/Dependencies.csv,OK,1
DEL-020-02,PKG-020,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-020_Commissioning & Closeout/1_Working/DEL-020-02_Final-Inspection/Dependencies.csv,OK,1
DEL-020-03,PKG-020,/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-020_Commissioning & Closeout/1_Working/DEL-020-03_Closeout-Docs/Dependencies.csv,OK,1
DEL-021-01,PKG-021,"/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-021_Bonding, Insurance & Warranty/1_Working/DEL-021-01_Bid-Security/Dependencies.csv",OK,0
DEL-021-02,PKG-021,"/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-021_Bonding, Insurance & Warranty/1_Working/DEL-021-02_Performance-Bonds/Dependencies.csv",OK,1
DEL-021-03,PKG-021,"/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-021_Bonding, Insurance & Warranty/1_Working/DEL-021-03_Insurance/Dependencies.csv",OK,1
DEL-021-04,PKG-021,"/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-021_Bonding, Insurance & Warranty/1_Working/DEL-021-04_Contract-Execution/Dependencies.csv",OK,3
DEL-021-05,PKG-021,"/Users/ryan/ai-env/projects/chirality-project-test/test/AB-2026-01424-WDMLRL-2026-Claude/PKG-021_Bonding, Insurance & Warranty/1_Working/DEL-021-05_Warranty/Dependencies.csv",OK,1
