CBS_Code,Amount_CAD
Commissioning,13519.2
Construction — Site Services,13500.0
Design-Technical,13440.0
Professional-Civil,13440.0
03-FitOut,12800.0
PROF_STAFF,12590.0
SURVEY,12560.0
05-Structural,12500.0
CONST_LABOUR,12084.8
FREIGHT,12000.0
MECHANICAL_DUCTWORK,11900.0
CONSTRUCTION_LABOUR,11776.8
LABOUR-SPECIALTY,11465.0
PROFESSIONAL,11180.0
01-Management,11010.0
14-PLUMB-FIXT,10520.0
MAT-PIPE,10225.0
01-General,10040.0
Fees and Permits,10000.0
MECHANICAL-CONTROLS,10000.0
Design-Plumbing,9835.0
Design Labour,9835.0
ELECTRICAL-LV,9835.0
Material-Steel,9804.0
03-Doors,9800.0
Material-Devices,9670.0
Laboratory Testing,9600.0
DESIGN_LABOUR,9450.0
Design-Professional,9450.0
MAT-PLUMB,9065.0
PLUMBING-DEMOLITION,9000.0
LABOUR_TRADE,8908.8
PLUMBING-SITEWORK,8500.0
LAB-PLUMB,8352.0
Testing & Inspection,8000.0
Utility — Communications,8000.0
03-Partitions,7860.0
DESIGN_ENG,7840.0
DESIGN-ENG,7840.0
02-Labour,7613.6
CONSTRUCTION-LABOUR,7295.5
Labour-Professional,6790.0
03-Interior Partitions,6640.0
Admin,6500.0
03-Equipment Supports,6500.0
MEP_ROUGHIN,6300.0
MECHANICAL-ADMIN,6200.0
Field Investigation — Mobilization,6000.0
LABOUR-BIM,5985.0
CLOSEOUT,5650.0
LABOUR_MGMT,5590.0
Overhead,5590.0
14-MGMT,5590.0
Professional,5590.0
Professional-Staff,5590.0
STAFF,5590.0
MECHANICAL_CONTROLS,5500.0
Documentation,5429.6
SITE.MGMT,5420.0
SITE.QA,5010.0
Quality Assurance,5000.0
Testing and Commissioning,5000.0
PROF,5000.0
03-Foundations,4800.0
ELECTRICAL-DISTRIBUTION,4800.0
Professional-StructEng,4760.0
Material,4550.0
Labour-Ironworker,4454.4
LABOUR-FIELD,4350.0
Professional-Mgmt,4260.0
Labour-Management,4260.0
Survey,4200.0
Construction-Support,4080.0
Field Investigation — Drilling,4000.0
QA_QC,4000.0
REGULATORY,4000.0
ELECTRICAL-GROUNDING,4000.0
PROJECT_MANAGEMENT,3870.0
SITE.EARTHWORK,3824.0
ELECTRICAL-DEVICES,3800.0
Material-RoughIn,3720.0
MECHANICAL-LOGISTICS,3500.0
VERIFICATION,3500.0
DESIGN,3500.0
CONTINGENCY,3500.0
Professional-BIM,3420.0
14-PLUMB-LAB,3340.8
01-Design Coordination,3290.0
LABOUR-CONST,3250.0
Labour-Construction,3250.0
PRECONSTRUCTION,3150.0
Management-Labour,3060.0
LABOR-MGMT,3060.0
DEMOLITION,3000.0
Permits and Admin,3000.0
LABOUR-PM,2970.0
FINISHES,2880.0
SITE.SURVEY,2800.0
PROFESSIONAL-MGMT,2770.0
MGMT-PM,2770.0
EARTHWORKS,2645.0
DESIGN-ENGINEERING,2640.0
MECHANICAL-FIRE-PROTECTION,2600.0
WATERPROOFING,2520.0
Professional Services — Regulatory,2500.0
Field Investigation — Monitoring,2500.0
Material-Coating,2500.0
Contingency,2500.0
MECHANICAL-PIPING,2500.0
Permits,2500.0
PLUMBING-ELECTRICAL,2500.0
ELECTRICAL-COORDINATION,2500.0
MGMT,2500.0
ENVIRO,2500.0
01-Quality,2480.0
QA-QC,2430.0
Labour — Management,2340.0
Design-Drafting,2280.0
Administration,2250.0
Professional Services — Specialty,2240.0
Labour-Welder,2227.2
03-Stairs,2200.0
MECHANICAL-PERMIT,2200.0
Material-Anchorage,2100.0
03-MEP Openings,2100.0
Labour — Construction,2010.0
ELECTRICAL-COMMISSIONING,2000.0
DESIGN_PROD,1995.0
DESIGN-PROD,1995.0
Labour — Contract Administration,1920.0
Professional-QAQC,1890.0
03-Electrical Rough-In,1800.0
PLUMBING-TESTING,1800.0
PERMIT-INSP,1800.0
ELECTRICAL-INSPECTION,1800.0
Indirect,1800.0
03-Floor Finishes,1700.0
HSE,1680.0
LABOUR-EST,1620.0
03-Fire Protection,1620.0
LABOUR-QC,1620.0
INSPECTION,1600.0
LAB-GEN,1562.4
DESIGN_MGMT,1530.0
DESIGN-MGMT,1530.0
MGMT_LABOUR,1530.0
Management-Professional,1530.0
PERMITS,1500.0
PERMIT,1500.0
MGMT-COORD,1500.0
ELECTRICAL-PERMITS,1500.0
ELECTRICAL-DOCUMENTATION,1500.0
FEES,1500.0
Equipment-Rental,1480.0
MANAGEMENT-SUPT,1450.0
CONSTRUCTION_SUPERVISION,1450.0
PROFESSIONAL-FIELD,1450.0
MGMT-FIELD,1450.0
ELECTRICAL-UNDERGROUND,1425.0
01-Documentation,1400.0
03-Finishes,1332.0
Field Investigation — Sampling,1250.0
Labour-ConcreteFinisher,1240.0
MANAGEMENT-CPM,1240.0
Labour — Construction Management,1240.0
16-Electrical,1200.0
MECHANICAL-ELECTRICAL,1200.0
14-PLUMB-ADMIN,1200.0
PLUMBING,1200.0
OTHER,1150.0
Professional-WeldInsp,1120.0
LABOUR-SAFETY,1120.0
PROCUREMENT,1110.0
Field Investigation — Restoration,1000.0
16-ELECTRICAL,1000.0
Professional-PM,990.0
MANAGEMENT-PM,990.0
ELECTRICAL-CX,960.0
MANAGEMENT-QAQC,810.0
QUALITY,810.0
PROFESSIONAL-QA,810.0
ADMN,800.0
Labour-General,750.0
03-Access Panels,750.0
01-Permits,750.0
PROFESSIONAL-ADMIN,750.0
01-General Conditions,650.0
Professional-DocControl,600.0
Professional-HSE,560.0
MANAGEMENT-HSE,560.0
PROFESSIONAL-HSE,560.0
SITE.HSE,560.0
LABOUR-HSE,560.0
03-Interior Finishes,552.0
Professional-EST,540.0
Professional-Estimator,540.0
03-Ceiling Finishes,540.0
MANAGEMENT-EST,540.0
ESTIMATING,540.0
PERMITTING,500.0
Permit,500.0
14-PLUMB-INSP,500.0
MATL,500.0
Labour — Admin,450.0
Labour-Admin,450.0
Material-Accessories,379.0
Field Investigation — Documentation,250.0
Design-Coordination,0.0
Management-Admin,0.0
Design-QA,0.0
Design-Contingency,0.0
Design-Reference,0.0
SCOPE,0.0
DESIGN-QA,0.0
DESIGN-COORD,0.0
DESIGN-CA,0.0
DESIGN-CX,0.0
Professional Services — Administration,0.0
Excluded,0.0
ADMIN,0.0
