LineUID,LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,CostCategory,SourceSnapshot
DEL-01-04::B-420,B-420,CON.MEC,PKG-001,DEL-01-04,Mechanical -- fire protection,1,LS,108000,108000,CAD,RATE_TABLE,MS-05,LOW,May not be required by AHJ,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-430,B-430,CON.MEC,PKG-001,DEL-01-04,Mechanical -- vehicle exhaust extraction (4 fire bays),1,LS,100000,100000,CAD,RATE_TABLE,MS-06,MED,4 bays x $25000,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-440,B-440,CON.MEC,PKG-001,DEL-01-04,Mechanical -- shop bay ventilation (4 PW bays),1,LS,44000,44000,CAD,RATE_TABLE,MS-07,MED,4 bays x $11000,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-450,B-450,CON.MEC,PKG-001,DEL-01-04,Mechanical -- building automation system,1,LS,72000,72000,CAD,RATE_TABLE,MS-12,MED,$4/sf x 18000 sf,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-460,B-460,CON.MEC,PKG-001,DEL-01-04,Mechanical -- cold storage ventilation,1,LS,18000,18000,CAD,RATE_TABLE,MS-13,MED,Condensation prevention,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-500,B-500,CON.EQP,PKG-001,DEL-01-04,Equipment -- overhead doors main PSB (8 x 16x16 ft),1,LS,160000,160000,CAD,RATE_TABLE,EQ-01,MED,8 motorized insulated OH doors,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-510,B-510,CON.EQP,PKG-001,DEL-01-04,Equipment -- overhead doors cold storage (2),1,LS,27000,27000,CAD,RATE_TABLE,EQ-02,MED,2 standard OH doors,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-520,B-520,CON.EQP,PKG-001,DEL-01-04,Equipment -- person doors cold storage (2),1,LS,4000,4000,CAD,RATE_TABLE,EQ-03,MED,2 commercial steel doors,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-530,B-530,CON.EQP,PKG-001,DEL-01-04,Equipment -- diesel generator system,1,LS,150000,150000,CAD,RATE_TABLE,EQ-04,LOW,Complete 100-150 kW system,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-540,B-540,CON.EQP,PKG-001,DEL-01-04,Equipment -- bunker gear lockers (40),1,LS,88000,88000,CAD,RATE_TABLE,EQ-06,MED,40 ventilated fire lockers,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-550,B-550,CON.EQP,PKG-001,DEL-01-04,Equipment -- PW lockers (40),1,LS,40000,40000,CAD,RATE_TABLE,EQ-07,MED,40 heavy-duty PW lockers,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-560,B-560,CON.EQP,PKG-001,DEL-01-04,Equipment -- breathing air compressor system,1,LS,55000,55000,CAD,RATE_TABLE,EQ-08,LOW,Fire service cascade system,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-570,B-570,CON.EQP,PKG-001,DEL-01-04,Equipment -- water fill stations (2),1,LS,7000,7000,CAD,RATE_TABLE,EQ-09,MED,1 fire + 1 PW bay,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-580,B-580,CON.EQP,PKG-001,DEL-01-04,Equipment -- bay sump assemblies (8),1,LS,36000,36000,CAD,RATE_TABLE,EQ-10,MED,4 fire + 4 PW bays,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-590,B-590,CON.EQP,PKG-001,DEL-01-04,Equipment -- apparatus bay displays (4),1,LS,10000,10000,CAD,RATE_TABLE,EQ-11,MED,4 x 55-inch commercial,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-595,B-595,CON.EQP,PKG-001,DEL-01-04,Equipment -- PA/paging system,1,LS,20000,20000,CAD,RATE_TABLE,EQ-12,MED,Building-wide,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-598,B-598,CON.EQP,PKG-001,DEL-01-04,Equipment -- PW workshop equipment allowance,1,LS,22000,22000,CAD,ALLOWANCE,EQ-13,LOW,Allowance,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-600,B-600,CON.ELC,PKG-001,DEL-01-04,Electrical -- power distribution,1,LS,294000,294000,CAD,RATE_TABLE,ES-01/ES-02/ES-14,MED,Office + bay power,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-610,B-610,CON.ELC,PKG-001,DEL-01-04,Electrical -- service entrance,1,LS,45000,45000,CAD,RATE_TABLE,ES-14,MED,600A 3-phase,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-620,B-620,CON.ELC,PKG-001,DEL-01-04,Electrical -- LED lighting,1,LS,132000,132000,CAD,RATE_TABLE,ES-03/ES-04,MED,Institutional + high-bay,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-630,B-630,CON.ELC,PKG-001,DEL-01-04,Electrical -- IT/telecom,1,LS,70000,70000,CAD,RATE_TABLE,ES-06/ES-07,MED,45 drops + backbone,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-640,B-640,CON.ELC,PKG-001,DEL-01-04,Electrical -- fire alarm,1,LS,63000,63000,CAD,RATE_TABLE,ES-08,MED,Addressable system,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-650,B-650,CON.ELC,PKG-001,DEL-01-04,Electrical -- emergency lighting,1,LS,45000,45000,CAD,RATE_TABLE,ES-11,MED,Battery + exit signs,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-660,B-660,CON.ELC,PKG-001,DEL-01-04,Electrical -- solar-ready provisions,1,LS,12000,12000,CAD,RATE_TABLE,ES-13,MED,Conduit + panel space,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-670,B-670,CON.ELC,PKG-001,DEL-01-04,Electrical -- cold storage,1,LS,36000,36000,CAD,RATE_TABLE,ES-12,MED,Basic power + lighting,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-700,B-700,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- site clearing,1,LS,19000,19000,CAD,RATE_TABLE,EC-01,MED,4.5 acres,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-710,B-710,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- topsoil stripping,1,LS,60000,60000,CAD,RATE_TABLE,EC-02,MED,5940 m3,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-720,B-720,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- common excavation,1,LS,90000,90000,CAD,RATE_TABLE,EC-03,MED,6000 m3,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-730,B-730,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- engineered fill,1,LS,180000,180000,CAD,RATE_TABLE,EC-04,MED,6000 m3,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-740,B-740,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- building pad preparation,1,LS,53000,53000,CAD,RATE_TABLE,EC-05,MED,2230 m2,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-750,B-750,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- erosion and sediment control,1,LS,22000,22000,CAD,RATE_TABLE,EC-07,MED,Construction phase ESC,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-760,B-760,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- surface drainage and swales,1,LS,28000,28000,CAD,RATE_TABLE,EC-08,MED,500 lm,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-770,B-770,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- topsoil replacement and seeding,1,LS,88000,88000,CAD,RATE_TABLE,EC-09,MED,8000 m2,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-780,B-780,CON.CIV,PKG-001,DEL-01-04,Earthwork/civil -- construction survey,1,LS,12000,12000,CAD,RATE_TABLE,EC-11,MED,Full site layout + as-built,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-800,B-800,CON.PAV,PKG-001,DEL-01-04,Paving -- heavy duty asphalt,1,LS,276000,276000,CAD,RATE_TABLE,PS-01,MED,3000 m2 apparatus rated,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-810,B-810,CON.PAV,PKG-001,DEL-01-04,Paving -- light duty asphalt,1,LS,180000,180000,CAD,RATE_TABLE,PS-02,MED,3000 m2 parking,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-820,B-820,CON.PAV,PKG-001,DEL-01-04,Paving -- aggregate surfacing,1,LS,90000,90000,CAD,RATE_TABLE,PS-03,MED,3000 m2 yard/storage,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-830,B-830,CON.PAV,PKG-001,DEL-01-04,Paving -- concrete aprons at OH doors,1,LS,40000,40000,CAD,RATE_TABLE,PS-04,MED,300 m2,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-840,B-840,CON.PAV,PKG-001,DEL-01-04,Paving -- concrete curb and gutter,1,LS,33000,33000,CAD,RATE_TABLE,PS-05,MED,400 lm,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-850,B-850,CON.PAV,PKG-001,DEL-01-04,Paving -- concrete sidewalk,1,LS,15000,15000,CAD,RATE_TABLE,PS-06,MED,200 m2,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-860,B-860,CON.PAV,PKG-001,DEL-01-04,Paving -- line painting and markings,1,LS,5000,5000,CAD,RATE_TABLE,PS-07/PS-08,MED,800 lm + 3 accessible stalls,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-870,B-870,CON.PAV,PKG-001,DEL-01-04,Paving -- bollards,1,LS,12000,12000,CAD,RATE_TABLE,PS-09,MED,12 bollards,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-900,B-900,CON.UTL,PKG-001,DEL-01-04,Underground utilities -- water main,1,LS,49000,49000,CAD,RATE_TABLE,UU-01/UU-02,MED,200 lm + 2 connections,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-910,B-910,CON.UTL,PKG-001,DEL-01-04,Underground utilities -- sanitary sewer,1,LS,53000,53000,CAD,RATE_TABLE,UU-03/UU-04,MED,200 lm + 1 connection,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-920,B-920,CON.UTL,PKG-001,DEL-01-04,Underground utilities -- storm drainage,1,LS,25000,25000,CAD,RATE_TABLE,UU-05,MED,100 lm,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-930,B-930,CON.UTL,PKG-001,DEL-01-04,Underground utilities -- natural gas service,1,LS,14000,14000,CAD,RATE_TABLE,UU-06,MED,100 lm,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-940,B-940,CON.UTL,PKG-001,DEL-01-04,Underground utilities -- power duct bank,1,LS,24000,24000,CAD,RATE_TABLE,UU-07,MED,100 lm,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-950,B-950,CON.UTL,PKG-001,DEL-01-04,Underground utilities -- telecom conduit,1,LS,10000,10000,CAD,RATE_TABLE,UU-08,MED,100 lm,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-960,B-960,CON.UTL,PKG-001,DEL-01-04,Underground utilities -- municipal tie-in allowance,1,LS,35000,35000,CAD,ALLOWANCE,UU-12,LOW,Cash allowance per Addendum 03,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1000,B-1000,CON.EQP,PKG-001,DEL-01-04,Cold storage building -- PEMB turnkey (60x100 ft),1,LS,288000,288000,CAD,PARAMETRIC,PB-02,MED,$48/sf x 6000 sf complete,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1010,B-1010,CON.EQP,PKG-001,DEL-01-04,Equipment -- temporary facilities (18 months),1,LS,81000,81000,CAD,RATE_TABLE,EQ-14,MED,$4500/mo x 18 months,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1020,B-1020,CON.EQP,PKG-001,DEL-01-04,Equipment -- temporary power and lighting,1,LS,12000,12000,CAD,RATE_TABLE,EQ-15,MED,Lump sum,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1100,B-1100,CON.GR,PKG-001,DEL-01-04,General requirements -- design fees,1,LS,640000,640000,CAD,RATE_TABLE,DF-01 thru DF-08,MED,7% arch + 2.5% each engineering + specialty,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1110,B-1110,CON.GR,PKG-001,DEL-01-04,General requirements -- performance bond,1,LS,90000,90000,CAD,RATE_TABLE,FP-01,MED,1.50% x $12M / 2,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1120,B-1120,CON.GR,PKG-001,DEL-01-04,General requirements -- labour/materials bond,1,LS,60000,60000,CAD,RATE_TABLE,FP-02,MED,1.00% x $12M / 2,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1130,B-1130,CON.GR,PKG-001,DEL-01-04,General requirements -- CCIP insurance,1,LS,240000,240000,CAD,RATE_TABLE,FP-03,LOW,2.00% x $12M,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1140,B-1140,CON.GR,PKG-001,DEL-01-04,General requirements -- builder's risk insurance,1,LS,24000,24000,CAD,RATE_TABLE,FP-04,MED,0.20% x $12M,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1150,B-1150,CON.GR,PKG-001,DEL-01-04,General requirements -- general liability insurance,1,LS,90000,90000,CAD,RATE_TABLE,FP-05,MED,0.75% x $12M,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1160,B-1160,CON.GR,PKG-001,DEL-01-04,General requirements -- building permit,1,LS,65000,65000,CAD,RATE_TABLE,FP-06,LOW,0.75% x $8.7M base,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1170,B-1170,CON.GR,PKG-001,DEL-01-04,General requirements -- other permits,1,LS,7000,7000,CAD,RATE_TABLE,FP-07/08/09/10,MED,Combined,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1180,B-1180,CON.GR,PKG-001,DEL-01-04,General requirements -- utility connection fees,1,LS,39000,39000,CAD,ALLOWANCE,FP-11 thru FP-15,LOW,Combined allowance,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1190,B-1190,CON.GR,PKG-001,DEL-01-04,General requirements -- environmental permits,1,LS,32000,32000,CAD,RATE_TABLE,FP-16/17/18,MED,AEPA + consulting + ESC plan,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::B-1195,B-1195,CON.GR,PKG-001,DEL-01-04,General requirements -- surety broker fee,1,LS,4000,4000,CAD,RATE_TABLE,FP-19,LOW,Broker fee,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
DEL-01-04::C-100,C-100,OPT.WSH,PKG-001,DEL-01-04,Option 1 -- Wash Bay (complete),1,LS,123000,123000,CAD,RATE_TABLE,OPT-01/02/03,LOW,System + plumbing + environmental,CONSTRUCTION_PRICING,EST_DEL-01-04_2026-02-18_2359
