FromDeliverableID,SnapshotID,BASIS_OF_ESTIMATE,FALLBACK_POLICY,ALLOW_MIXED,Currency,RunContextPath,Notes
DEL-03-05,EST_DEL-03-05_2026-02-18_2330,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-03-05_2026-02-18_2330/Run_Context.md,Single-method; brief writing
DEL-03-06,EST_DEL-03-06_2026-02-18_2330,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-03-06_2026-02-18_2330/Run_Context.md,Single-method; brief writing
DEL-04-01,EST_DEL-04-01_2026-02-18_1300,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-04-01_2026-02-18_1300/Run_Context.md,Single-method; sustainability narrative
DEL-04-02,EST_DEL-04-02_2026-02-18_2300,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-04-02_2026-02-18_2300/Run_Context.md,Single-method; energy narrative
DEL-04-03,EST_DEL-04-03_2026-02-18_2345,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-04-03_2026-02-18_2345/Run_Context.md,Single-method; electrical energy
DEL-05-01,EST_DEL-05-01_2026-02-18_2350,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-05-01_2026-02-18_2350/Run_Context.md,Single-method; durability narrative
DEL-05-02,EST_DEL-05-02_2026-02-18_2345,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-05-02_2026-02-18_2345/Run_Context.md,Single-method; durability narrative
DEL-05-03,EST_DEL-05-03_2026-02-18_2350,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-05-03_2026-02-18_2350/Run_Context.md,Single-method; maintainability narrative
DEL-05-04,EST_DEL-05-04_2026-02-18_2355,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-05-04_2026-02-18_2355/Run_Context.md,Single-method; maintainability narrative
DEL-06-01,EST_DEL-06-01_2026-02-18_1600,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-06-01_2026-02-18_1600/Run_Context.md,Single-method; methodology narrative
DEL-06-02,EST_DEL-06-02_2026-02-18_1800,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-06-02_2026-02-18_1800/Run_Context.md,Single-method; documents plan
DEL-07-01,EST_DEL-07-01_2026-02-18_1700,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-07-01_2026-02-18_1700/Run_Context.md,Single-method; construction methodology
DEL-07-02,EST_DEL-07-02_2026-02-18_2359,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-07-02_2026-02-18_2359/Run_Context.md,Single-method; administration narrative
DEL-07-03,EST_DEL-07-03_2026-02-18_2000,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-07-03_2026-02-18_2000/Run_Context.md,Single-method; subconsultant approach
DEL-07-04,EST_DEL-07-04_2026-02-18_2355,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-07-04_2026-02-18_2355/Run_Context.md,Single-method; meetings narrative
DEL-07-05,EST_DEL-07-05_2026-02-18_2359,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-07-05_2026-02-18_2359/Run_Context.md,Single-method; quality management
DEL-08-01,EST_DEL-08-01_2026-02-18_2359,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-08-01_2026-02-18_2359/Run_Context.md,Single-method; commissioning narrative
DEL-08-02,EST_DEL-08-02_2026-02-18_2359,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-08-02_2026-02-18_2359/Run_Context.md,Single-method; deficiency narrative
DEL-08-03,EST_DEL-08-03_2026-02-18_2359,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-08-03_2026-02-18_2359/Run_Context.md,Single-method; warranty narrative
DEL-09-01,EST_DEL-09-01_2026-02-18_2200,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-09-01_2026-02-18_2200/Run_Context.md,Single-method; schedule production
DEL-10-01,EST_DEL-10-01_2026-02-18_1900,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-10-01_2026-02-18_1900/Run_Context.md,Single-method; risk register
DEL-10-02,EST_DEL-10-02_2026-02-18_1900,RATE_TABLE,STRICT,FALSE,CAD,_Estimates/EST_DEL-10-02_2026-02-18_1900/Run_Context.md,Single-method; due diligence summary
