LineUID,FromDeliverableID,FromPackageID,LineID,CBS,WBS_PackageID,WBS_DeliverableID,Description,Qty,Unit,UnitRate,Amount,Currency,Method,SourceRef,Confidence,Notes,SourceSnapshot
DEL-01-03::L-0103-004,DEL-01-03,PKG-001,L-0103-004,CBS-SUPPLIES,PKG-001,DEL-01-03,PPE and signage supplies - hard hats + vests + glasses + first aid kits + site signage,1,LS,3500,3500,CAD,ALLOWANCE,Parametric allowance — PPE and site safety signage for 18-month construction project,LOW,Previously TBD; resolved as parametric allowance per ORCHESTRATOR TBD resolution pass; covers standard PPE inventory + site safety signage package,EST_DEL-01-03_2026-02-18_2100
DEL-01-04::L-01,DEL-01-04,PKG-001,L-01,01-MGMT,PKG-001,DEL-01-04,Project Manager -- permit applications; inspection coordination; AHJ liaison,40,hr,175,7000,CAD,RATE_TABLE,Level_of_Effort.csv row DEL-01-04/R-02 + Professional_Staff_Rates.csv R-02,MED,40h per Level_of_Effort.csv; $175/hr per Professional_Staff_Rates.csv,EST_DEL-01-04_2026-02-18_1400
DEL-01-04::L-02,DEL-01-04,PKG-001,L-02,01-MGMT,PKG-001,DEL-01-04,Administrative / Document Control -- permit documentation; inspection records,12,hr,80,960,CAD,RATE_TABLE,Level_of_Effort.csv row DEL-01-04/R-24 + Professional_Staff_Rates.csv R-24,MED,12h per Level_of_Effort.csv; $80/hr per Professional_Staff_Rates.csv,EST_DEL-01-04_2026-02-18_1400
DEL-01-04::L-03,DEL-01-04,PKG-001,L-03,01-FEES,PKG-001,DEL-01-04,Building permit -- Town of Penhold (0.75% of estimated construction value),1,LS,65250,65250,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-06 + Assumed_Project_Parameters.csv PP-24,LOW,0.75% recommended rate x $8700000 PP-24; Penhold fee schedule TBD; ALLOWANCE method per FALLBACK_POLICY,EST_DEL-01-04_2026-02-18_1400
DEL-01-04::L-04,DEL-01-04,PKG-001,L-04,01-FEES,PKG-001,DEL-01-04,Development permit -- Town of Penhold,1,LS,1200,1200,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-07,LOW,Recommended rate $1200; Penhold fee schedule TBD,EST_DEL-01-04_2026-02-18_1400
DEL-01-04::L-05,DEL-01-04,PKG-001,L-05,01-FEES,PKG-001,DEL-01-04,Electrical permit -- Alberta Safety Codes,1,LS,2500,2500,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-08,MED,Recommended rate $2500; based on electrical scope,EST_DEL-01-04_2026-02-18_1400
DEL-01-04::L-06,DEL-01-04,PKG-001,L-06,01-FEES,PKG-001,DEL-01-04,Plumbing permit -- Alberta Safety Codes,1,LS,2000,2000,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-09,MED,Recommended rate $2000; based on fixture count,EST_DEL-01-04_2026-02-18_1400
DEL-01-04::L-07,DEL-01-04,PKG-001,L-07,01-FEES,PKG-001,DEL-01-04,Gas permit -- Alberta Safety Codes,1,LS,1000,1000,CAD,ALLOWANCE,Fees_Permits_Insurance.csv FP-10,MED,Recommended rate $1000; based on appliance count,EST_DEL-01-04_2026-02-18_1400
DEL-01-05::L-01,DEL-01-05,PKG-001,L-01,PM,PKG-001,DEL-01-05,Project Manager — meetings (biweekly x 2h x 18mo = 72h) + change control admin (18h),90,hr,175,15750,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-02) + Level_of_Effort.csv (DEL-01-05 R-02 90h),MED,SOW-0011 meetings + SOW-0012 change control; PP-01 18-month duration basis,EST_DEL-01-05_2026-02-18_0000
DEL-01-05::L-02,DEL-01-05,PKG-001,L-02,ADMIN,PKG-001,DEL-01-05,Administrative / Document Control — minutes + RFI log + submittal tracking + change order documentation,50,hr,80,4000,CAD,RATE_TABLE,Professional_Staff_Rates.csv (R-24) + Level_of_Effort.csv (DEL-01-05 R-24 50h),MED,SOW-0011 meeting minutes + SOW-0012 documentation management; PP-01 18-month duration basis,EST_DEL-01-05_2026-02-18_0000
DEL-01-06::L-0106-001,DEL-01-06,PKG-001,L-0106-001,01-CMGT,PKG-001,DEL-01-06,Site Superintendent -- full-time on-site supervision (40h/wk x 18mo construction duration at 80% utilization),1440,hr,135,194400,CAD,RATE_TABLE,Professional_Staff_Rates.csv row R-16 + Level_of_Effort.csv row DEL-01-06/R-16,MED,1440 hrs from Level_of_Effort.csv (PARAMETRIC basis: 40h/wk x 18mo x 4.33wk/mo trimmed to 80% utilization); $135/hr from Professional_Staff_Rates.csv R-16; 18-month duration from Assumed_Project_Parameters.csv PP-01,EST_DEL-01-06_2026-02-18_2100
DEL-01-06::L-0106-002,DEL-01-06,PKG-001,L-0106-002,01-CMGT,PKG-001,DEL-01-06,Construction Manager -- periodic site visits and logistics oversight (~3.5h/wk),60,hr,155,9300,CAD,RATE_TABLE,Professional_Staff_Rates.csv row R-15 + Level_of_Effort.csv row DEL-01-06/R-15,MED,60 hrs from Level_of_Effort.csv (PARAMETRIC basis: ~3.5h/wk); $155/hr from Professional_Staff_Rates.csv R-15,EST_DEL-01-06_2026-02-18_2100
DEL-01-06::L-0106-003,DEL-01-06,PKG-001,L-0106-003,01-SITE,PKG-001,DEL-01-06,Temporary facilities and fencing -- site office trailer + temp power + fencing panels + portable washrooms for 18-month construction duration,1,LS,35000,35000,CAD,ALLOWANCE,Parametric allowance — site office trailer ($1500/mo x 18) + temp power hookup ($5000) + temp power consumption ($500/mo x 18) + fencing panels ($500/mo x 18) + portable washrooms ($300/mo x 18) + misc $5000,LOW,Previously TBD; resolved as parametric allowance per ORCHESTRATOR TBD resolution pass,EST_DEL-01-06_2026-02-18_2100
DEL-01-06::L-0106-004,DEL-01-06,PKG-001,L-0106-004,01-SITE,PKG-001,DEL-01-06,Site cleaning -- ongoing construction cleanup + final pre-occupancy clean for 24000 sf total building area,1,LS,25000,25000,CAD,ALLOWANCE,Parametric allowance — ongoing cleanup ($800/mo x 18mo = $14400) + final pre-occupancy clean ($10000 for 24000 sf at $0.40/sf),LOW,Previously TBD; resolved as parametric allowance per ORCHESTRATOR TBD resolution pass,EST_DEL-01-06_2026-02-18_2100
DEL-01-07::L-0107-01,DEL-01-07,PKG-001,L-0107-01,CBS-0107-CX,PKG-001,DEL-01-07,Commissioning Lead -- Cx plan development (20h) + functional testing coordination (40h) + training delivery (20h) + as-built coordination (20h) + warranty admin (20h),120,hr,140,16800,CAD,RATE_TABLE,Professional_Staff_Rates.csv row R-21 (HourlyRate_CAD=140); Level_of_Effort.csv row DEL-01-07/R-21 (EstimatedHours=120),MED,Overall Cx coordination only; system-specific commissioning labor is in PKG-002 discipline deliverables,EST_DEL-01-07_2026-02-18_1830
DEL-01-07::L-0107-02,DEL-01-07,PKG-001,L-0107-02,CBS-0107-MGT,PKG-001,DEL-01-07,Project Manager -- Cx oversight and closeout coordination and warranty management,30,hr,175,5250,CAD,RATE_TABLE,Professional_Staff_Rates.csv row R-02 (HourlyRate_CAD=175); Level_of_Effort.csv row DEL-01-07/R-02 (EstimatedHours=30),MED,PM oversight of commissioning and closeout process,EST_DEL-01-07_2026-02-18_1830
DEL-01-07::L-0107-03,DEL-01-07,PKG-001,L-0107-03,CBS-0107-ADM,PKG-001,DEL-01-07,Administrative / Document Control -- As-built documentation assembly and O&M manual compilation and warranty log maintenance,20,hr,80,1600,CAD,RATE_TABLE,Professional_Staff_Rates.csv row R-24 (HourlyRate_CAD=80); Level_of_Effort.csv row DEL-01-07/R-24 (EstimatedHours=20),MED,Document assembly and formatting; binder preparation (2 hard copies + digital),EST_DEL-01-07_2026-02-18_1830
DEL-02-01::L-001,DEL-02-01,PKG-002,L-001,3300,PKG-002,DEL-02-01,Interior hollow metal doors — single (office/admin/shared areas; estimated 18 openings),18,each,1800,32400,CAD,RATE_TABLE,Building_Envelope_Rates.csv BE-11,MED,18 single doors per ASM-004,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-002,DEL-02-01,PKG-002,L-002,3300,PKG-002,DEL-02-01,Interior hollow metal doors — double (meeting room main entry; 1 pair),1,each,3400,3400,CAD,RATE_TABLE,Building_Envelope_Rates.csv BE-12,MED,One double-door pair,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-003,DEL-02-01,PKG-002,L-003,3300,PKG-002,DEL-02-01,Door hardware sets — commercial (all interior openings; 19 sets),19,each,600,11400,CAD,RATE_TABLE,Building_Envelope_Rates.csv BE-13,MED,19 openings per ASM-004,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-004,DEL-02-01,PKG-002,L-004,3200,PKG-002,DEL-02-01,Interior partition walls — metal stud and gypsum board (~325 m2),325,m2,93,30225,CAD,RATE_TABLE,Interior_Architectural_Rates.csv IA-01/IA-02/IA-04 blended (70/20/10),MED,Previously TBD; resolved via PS-27,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-005,DEL-02-01,PKG-002,L-005,3400,PKG-002,DEL-02-01,Sealed concrete floor finish — densifier + sealer (~483 m2),483,m2,35,16905,CAD,RATE_TABLE,Interior_Architectural_Rates.csv IA-08,MED,Previously TBD; resolved via PS-27,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-006,DEL-02-01,PKG-002,L-006,3400,PKG-002,DEL-02-01,Ceiling system — suspended acoustical ceiling tile (~483 m2),483,m2,68,32844,CAD,RATE_TABLE,Interior_Architectural_Rates.csv IA-05,MED,Previously TBD; resolved via PS-27,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-007,DEL-02-01,PKG-002,L-007,3500,PKG-002,DEL-02-01,Accessibility features — barrier-free washrooms and accessible routes,1,LS,9490,9490,CAD,RATE_TABLE,IA-15/16/17/18 composite,MED,Previously TBD; resolved via PS-27,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-008,DEL-02-01,PKG-002,L-008,3600,PKG-002,DEL-02-01,Code-required signage — exit + room ID + fire safety,1,LS,11520,11520,CAD,RATE_TABLE,IA-19/20/21 composite,MED,Previously TBD; resolved via PS-27,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-009,DEL-02-01,PKG-002,L-009,3400,PKG-002,DEL-02-01,Interior paint — wall finishes (~650 m2),650,m2,14.05,9133,CAD,RATE_TABLE,IA-12/IA-13 blended (85/15),MED,Previously TBD; resolved via PS-27,EST_DEL-02-01_2026-02-18_2100
DEL-02-01::L-010,DEL-02-01,PKG-002,L-010,3100,PKG-002,DEL-02-01,Architectural design fees — 7% of DEL-02-01 construction cost,1,LS,11012,11012,CAD,RATE_TABLE,Professional_Design_Fees.csv DF-01 (7% of $157317),MED,Previously TBD; now computable,EST_DEL-02-01_2026-02-18_2100
DEL-02-02::L-001,DEL-02-02,PKG-002,L-001,03-CONCRETE,PKG-002,DEL-02-02,Sealed concrete floor finish -- 4 fire apparatus bays (780 m2 total; 4 bays x 2100 sf = 8400 sf),780,m2,35,27300,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-08; Assumed_Project_Parameters.csv / PP-11 (4 bays) and PP-05 (bay area ~2100 sf each from Datasheet),MED,Bay area midpoint 2100 sf per Addendum 03 s1.21 (2000-2200 sf range). Densifier + sealer per IA-08 description. See ASM-001.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-002,DEL-02-02,PKG-002,L-002,09-FINISHES,PKG-002,DEL-02-02,Exposed structure paint -- 4 fire apparatus bay ceilings (780 m2),780,m2,22,17160,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-07; Assumed_Project_Parameters.csv / PP-11,MED,Spray-apply latex to exposed deck/joists in bay area. Same 780 m2 as bay floor area. See ASM-001.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-003,DEL-02-02,PKG-002,L-003,10-SPECIALTIES,PKG-002,DEL-02-02,Bunker gear lockers -- heavy-duty ventilated (40 units),40,each,2200,88000,CAD,RATE_TABLE,Equipment_Pricing.csv / EQ-06; Assumed_Project_Parameters.csv / PP-15,MED,Quantity confirmed at 40 per Addendum 03 s1.13 and PP-15. Rate $2200 is midpoint of $1800-$2500 range.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-004,DEL-02-02,PKG-002,L-004,11-EQUIPMENT,PKG-002,DEL-02-02,Breathing air compressor system -- fire service complete (1 system),1,LS,55000,55000,CAD,RATE_TABLE,Equipment_Pricing.csv / EQ-08; Mechanical_System_Rates.csv / MS-08,LOW,Both sources consistent ($45k-$65k range). Includes compressor + dryer + storage + fill panels + distribution piping within SCBA room. Resolves CON-M-01 per cost ownership rules.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-005,DEL-02-02,PKG-002,L-005,23-MECH,PKG-002,DEL-02-02,Compressed air distribution piping -- from compressor room to 4 apparatus bays (ceiling drops),1,LS,20000,20000,CAD,ALLOWANCE,Decision_Log.md / DEC-EST-003; Equipment_Pricing.csv / EQ-08 Notes,LOW,No direct rate table entry for piping distribution. Allowance based on 4 bays x typical 15-25m piping runs + ceiling drop assemblies + valves. FALLBACK_POLICY=ALLOW_ALLOWANCE applied. See ASM-003.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-006,DEL-02-02,PKG-002,L-006,22-PLUMBING,PKG-002,DEL-02-02,Bay sump assemblies -- oil/water separator type (4 fire bays),4,each,4500,18000,CAD,RATE_TABLE,Mechanical_System_Rates.csv / MS-10; Equipment_Pricing.csv / EQ-10; Assumed_Project_Parameters.csv / PP-18,MED,4 fire apparatus bays. Rate $4500 per MS-10/EQ-10. Includes floor drain + trap + separator + sanitary connection.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-007,DEL-02-02,PKG-002,L-007,09-FINISHES,PKG-002,DEL-02-02,Decon area -- wet area partitions (steel stud + cement board; 50 m2),50,m2,132,6600,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-04,MED,Interior partition walls for decon room and shower/WR areas. Moisture-resistant GWB + cement board. See ASM-002.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-008,DEL-02-02,PKG-002,L-008,09-FINISHES,PKG-002,DEL-02-02,Decon area -- ceramic tile flooring (decon room + shower/WR; 26.5 m2),26.5,m2,118,3127,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-10,MED,Commercial grade ceramic tile for wet areas. Decon room 16.3 m2 + 2x shower/WR 10.2 m2. See ASM-002.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-009,DEL-02-02,PKG-002,L-009,09-FINISHES,PKG-002,DEL-02-02,Decon area -- ceramic tile walls in shower zones (20 m2),20,m2,118,2360,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-10,MED,Shower/WR wall tile to ceiling height. See ASM-002.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-010,DEL-02-02,PKG-002,L-010,09-FINISHES,PKG-002,DEL-02-02,Decon area -- epoxy/semi-gloss paint on remaining walls (30 m2),30,m2,20,600,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-13,MED,Washable finish for cleaning-intensive decon areas.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-011,DEL-02-02,PKG-002,L-011,10-SPECIALTIES,PKG-002,DEL-02-02,Decon area -- washroom accessories (2 washroom/shower rooms),2,each,800,1600,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-24,MED,Dispensers + mirrors + shelves per shower/WR unit.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-012,DEL-02-02,PKG-002,L-012,10-SPECIALTIES,PKG-002,DEL-02-02,Decon area -- toilet partitions (2 stalls),2,each,1500,3000,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-25,MED,Phenolic or solid plastic; floor-mounted overhead-braced.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-013,DEL-02-02,PKG-002,L-013,09-FINISHES,PKG-002,DEL-02-02,Bunker gear locker room -- non-rated partitions (30 m2),30,m2,82,2460,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-02,MED,Steel stud + 1-layer GWB both sides. Room area ~42 m2 (450 sf midpoint). See ASM-004.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-014,DEL-02-02,PKG-002,L-014,03-CONCRETE,PKG-002,DEL-02-02,Bunker gear locker room -- sealed concrete floor (41.8 m2),41.8,m2,35,1463,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-08,MED,Densifier + sealer. See ASM-004.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-015,DEL-02-02,PKG-002,L-015,09-FINISHES,PKG-002,DEL-02-02,Bunker gear locker room -- suspended ACT ceiling (41.8 m2),41.8,m2,68,2842,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-05,MED,600x600 lay-in mineral fibre with seismic clips. See ASM-004.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-016,DEL-02-02,PKG-002,L-016,09-FINISHES,PKG-002,DEL-02-02,Bunker gear locker room -- paint walls (60 m2),60,m2,13,780,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-12,MED,2 coats latex on drywall.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-017,DEL-02-02,PKG-002,L-017,09-FINISHES,PKG-002,DEL-02-02,Fire gear storage room -- non-rated partitions (20 m2),20,m2,82,1640,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-02,MED,Room area ~25.5 m2 (275 sf midpoint). See ASM-005.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-018,DEL-02-02,PKG-002,L-018,03-CONCRETE,PKG-002,DEL-02-02,Fire gear storage room -- sealed concrete floor (25.5 m2),25.5,m2,35,893,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-08,MED,See ASM-005.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-019,DEL-02-02,PKG-002,L-019,09-FINISHES,PKG-002,DEL-02-02,Fire gear storage room -- suspended ACT ceiling (25.5 m2),25.5,m2,68,1734,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-05,MED,See ASM-005.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-020,DEL-02-02,PKG-002,L-020,09-FINISHES,PKG-002,DEL-02-02,Fire gear storage room -- paint walls (40 m2),40,m2,13,520,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-12,MED,See ASM-005.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-021,DEL-02-02,PKG-002,L-021,09-FINISHES,PKG-002,DEL-02-02,Fire gear storage room -- hollow metal door + hardware (1 opening),1,each,2400,2400,CAD,RATE_TABLE,Building_Envelope_Rates.csv / BE-11 ($1800) + BE-13 ($600),MED,Single HM door + frame + lever handle/closer/hinges set.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-022,DEL-02-02,PKG-002,L-022,09-FINISHES,PKG-002,DEL-02-02,SCBA/cascade room -- non-rated partitions (18 m2),18,m2,82,1476,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-02,MED,Room area ~16.3 m2 (175 sf midpoint). See ASM-006.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-023,DEL-02-02,PKG-002,L-023,03-CONCRETE,PKG-002,DEL-02-02,SCBA/cascade room -- sealed concrete floor (16.3 m2),16.3,m2,35,571,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-08,MED,See ASM-006.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-024,DEL-02-02,PKG-002,L-024,09-FINISHES,PKG-002,DEL-02-02,SCBA/cascade room -- exposed ceiling paint (16.3 m2),16.3,m2,22,359,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-07,MED,Exposed structure for equipment access. See ASM-006.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-025,DEL-02-02,PKG-002,L-025,09-FINISHES,PKG-002,DEL-02-02,SCBA/cascade room -- paint walls (36 m2),36,m2,13,468,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-12,MED,See ASM-006.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-026,DEL-02-02,PKG-002,L-026,09-FINISHES,PKG-002,DEL-02-02,SCBA/cascade room -- hollow metal door + hardware (1 opening),1,each,2400,2400,CAD,RATE_TABLE,Building_Envelope_Rates.csv / BE-11 ($1800) + BE-13 ($600),MED,Single HM door + frame + hardware set.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-027,DEL-02-02,PKG-002,L-027,09-FINISHES,PKG-002,DEL-02-02,Compressor room -- fire-rated partitions 1-hr (16 m2),16,m2,112,1792,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-01,MED,Fire-rated due to compressor equipment. Room area ~11.6 m2 (125 sf midpoint). See ASM-007.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-028,DEL-02-02,PKG-002,L-028,03-CONCRETE,PKG-002,DEL-02-02,Compressor room -- sealed concrete floor (11.6 m2),11.6,m2,35,406,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-08,MED,See ASM-007.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-029,DEL-02-02,PKG-002,L-029,09-FINISHES,PKG-002,DEL-02-02,Compressor room -- exposed ceiling paint (11.6 m2),11.6,m2,22,255,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-07,MED,Exposed for equipment access. See ASM-007.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-030,DEL-02-02,PKG-002,L-030,09-FINISHES,PKG-002,DEL-02-02,Compressor room -- paint walls (32 m2),32,m2,13,416,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-12,MED,See ASM-007.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-031,DEL-02-02,PKG-002,L-031,09-FINISHES,PKG-002,DEL-02-02,Compressor room -- hollow metal door + hardware (1 opening),1,each,2400,2400,CAD,RATE_TABLE,Building_Envelope_Rates.csv / BE-11 ($1800) + BE-13 ($600),MED,Single HM door + frame + hardware set.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-032,DEL-02-02,PKG-002,L-032,09-FINISHES,PKG-002,DEL-02-02,Medical/EMS storage room -- non-rated partitions (10 m2),10,m2,82,820,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-02,MED,Room area ~5.6 m2 (60 sf midpoint). See ASM-008.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-033,DEL-02-02,PKG-002,L-033,03-CONCRETE,PKG-002,DEL-02-02,Medical/EMS storage room -- sealed concrete floor (5.6 m2),5.6,m2,35,196,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-08,MED,See ASM-008.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-034,DEL-02-02,PKG-002,L-034,09-FINISHES,PKG-002,DEL-02-02,Medical/EMS storage room -- suspended ACT ceiling (5.6 m2),5.6,m2,68,381,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-05,MED,See ASM-008.,EST_DEL-02-02_2026-02-18_1036
DEL-02-02::L-035,DEL-02-02,PKG-002,L-035,09-FINISHES,PKG-002,DEL-02-02,Medical/EMS storage room -- paint walls (20 m2),20,m2,13,260,CAD,RATE_TABLE,Interior_Architectural_Rates.csv / IA-12,MED,See ASM-008.,EST_DEL-02-02_2026-02-18_1036
