AssumptionUID,FromDeliverableID,AssumptionID,Title,Assumption,Source,SourcePath
DEL-01-07::ASM-0107,DEL-01-07,ASM-0107,-002 Commissioning Lead hours breakdown,-002 Commissioning Lead hours breakdown,"Level_of_Effort.csv, row DEL-01-07/R-21, Notes column.",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Assumptions_Log.md
DEL-01-07::ASM-0107,DEL-01-07,ASM-0107,-003 Warranty period of 12 months,-003 Warranty period of 12 months,Datasheet.md > Deficiency Process Attributes; RFP section 7.6.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Assumptions_Log.md
DEL-01-07::ASM-0107,DEL-01-07,ASM-0107,-004 Document deliverables quantity,-004 Document deliverables quantity,Datasheet.md > Delivery Format Requirements; RFP section 7.5.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Assumptions_Log.md
DEL-01-07::ASM-0107,DEL-01-07,ASM-0107,-005 Rates are current and un-escalated,-005 Rates are current and un-escalated,"Professional_Staff_Rates.csv, Basis=MARKET.",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Assumptions_Log.md
DEL-01-07::ASM-0107,DEL-01-07,ASM-0107,-006 No disbursements or third-party costs included,-006 No disbursements or third-party costs included,PRICE_SOURCES contain only labor rates and hours; no disbursement schedule provided.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-01-07_2026-02-18_1830/Assumptions_Log.md
DEL-02-04::ASM-01,DEL-02-04,ASM-01,Building Footprint Area,"Main PSB ground floor area is 18,000 sf (1,672 m2), based on functional program layout with 4 fire bays + 4 PW bays + office/admin + support spaces, with approximate dimensions ~160 ft x 110 ft.",PP-05 (Assumed_Project_Parameters.csv),/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-02,DEL-02-04,ASM-02,Building Perimeter,"Building perimeter is approximately 540 lf (165 lm), based on ~160 ft x 110 ft rectangular footprint.",Derived from PP-05 dimensional notes,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-03,DEL-02-04,ASM-03,Bay Area,"Total bay area (fire apparatus + PW shop) is approximately 12,000 sf (1,115 m2), based on 8 bays at approximately 1,500 sf each.",Derived from PP-11 (4 fire bays) + PP-12 (4 PW bays); bay size estimated from 16x16 ft doors + circulation/work space,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-04,DEL-02-04,ASM-04,Office/Shared Area,"Office and shared space area is approximately 6,000 sf (557 m2), calculated as 18,000 sf total minus 12,000 sf bay area.",Derived from PP-05 minus ASM-03,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-05,DEL-02-04,ASM-05,Average Wall Height,"Average exterior wall height is 6.5 m (21.3 ft), accommodating 16 ft minimum clear door height plus structural depth and parapet.",Derived from SOW-0215 (16 ft min clear height) plus assumed structural depth and parapet,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-06,DEL-02-04,ASM-06,Gross Wall Area,"Gross exterior wall area is approximately 1,073 m2 (perimeter 165 lm x average height 6.5 m).",Derived from ASM-02 x ASM-05,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-07,DEL-02-04,ASM-07,Screw Pile Count,48 screw piles at approximately 3.5 m spacing around perimeter and at interior column lines.,Typical spacing for steel-framed institutional building on screw pile foundations; consistent with SC-14 description for Penhold soils,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-08,DEL-02-04,ASM-08,Pile Cap / Grade Beam Concrete Volume,Total concrete volume for pile caps and grade beams is 38 m3 (48 caps x ~0.4 m3 average + ~19 m3 grade beams).,Typical pile cap dimensions for screw pile foundations; grade beam between perimeter piles,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-09,DEL-02-04,ASM-09,Foundation Formwork (Pile Caps + Grade Beams),180 m2 of formwork for pile caps and grade beams combined.,Estimated from 48 caps x ~2 m2/cap + grade beam faces,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-10,DEL-02-04,ASM-10,Foundation Wall Formwork,"Perimeter frost wall/stem wall formwork is 165 m2 (165 lm x ~1.0 m height average, both sides).","Typical frost wall depth for Penhold, AB climate",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-11,DEL-02-04,ASM-11,Reinforcing Steel Quantity (Foundations),"4,800 kg of reinforcing steel for foundation system (~100 kg per pile cap average including grade beam rebar).",Typical reinforcing ratios for pile caps and grade beams,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-12,DEL-02-04,ASM-12,Anchor Bolt Count,96 anchor bolts (2 per pile cap x 48 piles).,Minimum 2 anchor bolts per column base plate; conservative (some may require 4),/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-13,DEL-02-04,ASM-13,Primary Steel Tonnage,"Primary structural steel (W-shapes and HSS) is approximately 42,000 kg (~25 kg/m2 of building footprint x 1,672 m2).",Typical steel intensity for single-storey steel-framed institutional/municipal buildings with clear-span bays. Range is typically 20-30 kg/m2; 25 kg/m2 used as mid-range.,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-14,DEL-02-04,ASM-14,Miscellaneous Steel,"3,500 kg of miscellaneous steel (stairs, handrails, platforms, embed plates, lintels).",Typical for building of this size; ~2 kg/m2 of footprint,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-15,DEL-02-04,ASM-15,Net Wall Panel Area (Insulated Metal Panels),"730 m2 of insulated metal wall panels. Calculated as: gross wall area (1,073 m2) minus masonry base (200 m2) minus glazing/window openings (54 m2) minus overhead door openings (8 doors x ~23.5 m2/door = ~188 m2). Net = 1,073 - 200 - 54 - 188 = ~631 m2. Adjusted upward to 730 m2 to account for panel waste, returns at openings, and soffit areas.",Derived from ASM-06 minus deductions; waste/returns factor applied,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-16,DEL-02-04,ASM-16,Masonry Base Course Area,200 m2 of 200mm CMU base course at approximately 1.2 m height around the full perimeter (165 lm x 1.2 m).,Typical for municipal/institutional metal buildings with impact-resistant masonry base,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-17,DEL-02-04,ASM-17,Flashing and Trim Length,"380 lm of metal flashing and trim (corners, drip edges, window heads/sills, parapet cap, base flashing). Approximately 2.3x the building perimeter to account for multiple runs.",Typical for insulated metal panel buildings,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-18,DEL-02-04,ASM-18,Sealant Length,"520 lm of perimeter sealant at all openings, joints, and panel transitions. Approximately 3.1x the building perimeter.",Typical for insulated metal panel buildings with multiple opening types,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-19,DEL-02-04,ASM-19,Glazing Area,"54 m2 of commercial glazing, approximately 5% of gross wall area.",Typical for municipal operations facility; lower glazing ratio than office buildings due to bay/shop functions,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-20,DEL-02-04,ASM-20,Storefront Entries,2 storefront entries (main public entry + secondary entry).,Typical for combined fire hall / public works building with separate public-facing and operational entries,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-21,DEL-02-04,ASM-21,Person Door Count (Single),"12 single hollow metal person doors for bay access, service exits, and code-required egress.",Estimated based on 8 bays requiring egress doors + additional service/exterior doors per code requirements,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-22,DEL-02-04,ASM-22,Person Door Count (Double),2 sets of double hollow metal doors at main corridor/bay transitions.,Typical for separation between office/admin and bay areas in firehall/PW buildings,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-04::ASM-23,DEL-02-04,ASM-23,Sump Rough-In Rate,"Sump rough-in (blockout in structural slab) is estimated at $750 per location. This covers formwork, blockout framing, and PVC sleeve cast into the 200mm slab. The sump assembly, oil/water separator, and plumbing connection costs are excluded (DEL-02-05 scope per cost ownership rules).","Not directly from rate tables. Informed by MS-10 (bay sump assembly at $4,500 complete) with rough-in estimated as approximately 15-20% of complete assembly cost. This is a LOW confidence assumption.",/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-04_2026-02-18_1130/Assumptions_Log.md
DEL-02-07::ASM-001,DEL-02-07,ASM-001,Generator Runtime = 72 Hours,Generator Runtime = 72 Hours,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-02-07::ASM-002,DEL-02-07,ASM-002,Generator Size = 100-150 kW,Generator Size = 100-150 kW,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-02-07::ASM-003,DEL-02-07,ASM-003,Diesel Fuel Type,Diesel Fuel Type,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-02-07::ASM-004,DEL-02-07,ASM-004,Single Generator (Not Redundant),Single Generator (Not Redundant),,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-02-07::ASM-005,DEL-02-07,ASM-005,Emergency Distribution Scope,Emergency Distribution Scope,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-02-07::ASM-006,DEL-02-07,ASM-006,"Door Backup Mechanism — 8 Doors at $2,000 Each","Door Backup Mechanism — 8 Doors at $2,000 Each",,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-02-07::ASM-007,DEL-02-07,ASM-007,Installation Labour Hours,Installation Labour Hours,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-02-07::ASM-008,DEL-02-07,ASM-008,Design Fee Basis,Design Fee Basis,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-02-07_2026-02-18_1600/Assumptions_Log.md
DEL-04-02::ASM-01,DEL-04-02,ASM-01,Overhead Door Supply Price Includes Opener,Overhead Door Supply Price Includes Opener,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-02,DEL-04-02,ASM-02,Person Doors are Standard Single-Leaf Commercial,Person Doors are Standard Single-Leaf Commercial,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-03,DEL-04-02,ASM-03,Overhead Door Hardware Supplement,Overhead Door Hardware Supplement,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-04,DEL-04-02,ASM-04,Concrete Apron Dimensions,Concrete Apron Dimensions,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-05,DEL-04-02,ASM-05,Perimeter Sealant Lengths,Perimeter Sealant Lengths,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-06,DEL-04-02,ASM-06,Weatherstrip Allowance Beyond Sealant,Weatherstrip Allowance Beyond Sealant,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-07,DEL-04-02,ASM-07,Overhead Door Installation Labour,Overhead Door Installation Labour,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-08,DEL-04-02,ASM-08,Person Door Installation Labour,Person Door Installation Labour,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-09,DEL-04-02,ASM-09,Concrete Apron Installation Labour and Blended Rate,Concrete Apron Installation Labour and Blended Rate,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-10,DEL-04-02,ASM-10,Emergency Exit Light Unit Rate,Emergency Exit Light Unit Rate,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
DEL-04-02::ASM-11,DEL-04-02,ASM-11,Weatherproof Light Switch Unit Rate,Weatherproof Light Switch Unit Rate,,/Users/ryan/ai-env/projects/chirality-app-test/test/execution-6a/_Estimates/EST_DEL-04-02_2026-02-18_1100/Assumptions_Log.md
